Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
7 St George HRQoL (end of study minus baseline) Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Stable state bronchiectasis (6 months or less),1,,,,7,,St George HRQoL (end of study minus baseline),
7.1 Total score,2,127,"Mean Difference (IV, Fixed, 95% CI)","‐3.54 [‐8.00, 0.92]",Stable state bronchiectasis (6 months or less),1,-3.54,-8.0,0.92,7,1,St George HRQoL (end of study minus baseline),Total score
7.2 Symptom score,2,127,"Mean Difference (IV, Fixed, 95% CI)","‐4.75 [‐10.42, 0.92]",Stable state bronchiectasis (6 months or less),1,-4.75,-10.42,0.92,7,2,St George HRQoL (end of study minus baseline),Symptom score
7.3 Activity score,2,127,"Mean Difference (IV, Fixed, 95% CI)","‐6.21 [‐12.40, ‐0.01]",Stable state bronchiectasis (6 months or less),1,-6.21,-12.4,-0.01,7,3,St George HRQoL (end of study minus baseline),Activity score
7.4 Impact score,1,70,"Mean Difference (IV, Fixed, 95% CI)","‐3.63 [‐9.35, 2.09]",Stable state bronchiectasis (6 months or less),1,-3.63,-9.35,2.09,7,4,St George HRQoL (end of study minus baseline),Impact score
1 Lung function indices Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Stable state (> 6 months),2,,,,1,,Lung function indices,
1.1 FEV1% predicted (end study minus baseline values),1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state (> 6 months),2,0.0,0.0,0.0,1,1,Lung function indices,FEV1% predicted (end study minus baseline values)
1.2 FVC % predicted (end study minus baseline values),1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state (> 6 months),2,0.0,0.0,0.0,1,2,Lung function indices,FVC % predicted (end study minus baseline values)
2 Exacerbations Show forest plot,1,,"Odds Ratio (M‐H, Fixed, 95% CI)",Totals not selected,Stable state (> 6 months),2,,,,2,,Exacerbations,
2.1 Number of participants improved,1,,"Odds Ratio (M‐H, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state (> 6 months),2,0.0,0.0,0.0,2,1,Exacerbations,Number of participants improved
3 Sputum and biomarker characteristics Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Stable state (> 6 months),2,,,,3,,Sputum and biomarker characteristics,
3.1 Sputum purulence score,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state (> 6 months),2,0.0,0.0,0.0,3,1,Sputum and biomarker characteristics,Sputum purulence score
