Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
13.2 Off‐pump surgery,3,182,"Mean Difference (IV, Random, 95% CI)","‐2.74 [‐6.36, 0.88]",Epidural analgesia compared with systemic analgesia,1,-2.74,-6.36,0.88,13,2,Pain at rest at 6 to 8 hours: data available as means and standard deviations,Off‐pump surgery
14 Pain on movement/coughing at 6 to 8 hours Show forest plot,5,342,"Std. Mean Difference (Random, 95% CI)","‐1.39 [‐2.16, ‐0.62]",Epidural analgesia compared with systemic analgesia,1,-1.39,-2.16,-0.62,14,,Pain on movement/coughing at 6 to 8 hours,
14.1 With cardiopulmonary bypass,3,220,"Std. Mean Difference (Random, 95% CI)","‐1.41 [‐2.65, ‐0.17]",Epidural analgesia compared with systemic analgesia,1,-1.41,-2.65,-0.17,14,1,Pain on movement/coughing at 6 to 8 hours,With cardiopulmonary bypass
14.2 Off‐pump surgery,2,122,"Std. Mean Difference (Random, 95% CI)","‐1.43 [‐2.36, ‐0.50]",Epidural analgesia compared with systemic analgesia,1,-1.43,-2.36,-0.5,14,2,Pain on movement/coughing at 6 to 8 hours,Off‐pump surgery
15 Pain on movement/coughing at 6 to 8 hours: data available as means and standard deviations Show forest plot,3,162,"Mean Difference (IV, Random, 95% CI)","‐2.46 [‐4.37, ‐0.54]",Epidural analgesia compared with systemic analgesia,1,-2.46,-4.37,-0.54,15,,Pain on movement/coughing at 6 to 8 hours: data available as means and standard deviations,
15.1 With cardiopulmonary bypass,1,40,"Mean Difference (IV, Random, 95% CI)","‐5.5 [‐6.47, ‐4.53]",Epidural analgesia compared with systemic analgesia,1,-5.5,-6.47,-4.53,15,1,Pain on movement/coughing at 6 to 8 hours: data available as means and standard deviations,With cardiopulmonary bypass
15.2 Off‐pump surgery,2,122,"Mean Difference (IV, Random, 95% CI)","‐1.01 [‐1.24, ‐0.78]",Epidural analgesia compared with systemic analgesia,1,-1.01,-1.24,-0.78,15,2,Pain on movement/coughing at 6 to 8 hours: data available as means and standard deviations,Off‐pump surgery
16 Pain at rest at 24 hours after surgery Show forest plot,22,2033,"Std. Mean Difference (Random, 95% CI)","‐0.93 [‐1.22, ‐0.65]",Epidural analgesia compared with systemic analgesia,1,-0.93,-1.22,-0.65,16,,Pain at rest at 24 hours after surgery,
16.1 With cardiopulmonary bypass,15,837,"Std. Mean Difference (Random, 95% CI)","‐0.80 [‐1.06, ‐0.54]",Epidural analgesia compared with systemic analgesia,1,-0.8,-1.06,-0.54,16,1,Pain at rest at 24 hours after surgery,With cardiopulmonary bypass
16.2 Off‐pump surgery,5,432,"Std. Mean Difference (Random, 95% CI)","‐2.06 [‐3.15, ‐0.97]",Epidural analgesia compared with systemic analgesia,1,-2.06,-3.15,-0.97,16,2,Pain at rest at 24 hours after surgery,Off‐pump surgery
16.3 With and without cardiopulmonary bypass,2,764,"Std. Mean Difference (Random, 95% CI)","‐0.24 [‐0.38, ‐0.09]",Epidural analgesia compared with systemic analgesia,1,-0.24,-0.38,-0.09,16,3,Pain at rest at 24 hours after surgery,With and without cardiopulmonary bypass
17 Pain at rest at 24 hours: data available as means and standard deviations Show forest plot,15,875,"Mean Difference (IV, Random, 95% CI)","‐1.53 [‐2.51, ‐0.55]",Epidural analgesia compared with systemic analgesia,1,-1.53,-2.51,-0.55,17,,Pain at rest at 24 hours: data available as means and standard deviations,
17.1 With cardiopulmonary bypass,10,526,"Mean Difference (IV, Random, 95% CI)","‐1.42 [‐2.11, ‐0.73]",Epidural analgesia compared with systemic analgesia,1,-1.42,-2.11,-0.73,17,1,Pain at rest at 24 hours: data available as means and standard deviations,With cardiopulmonary bypass
17.2 Off‐pump surgery,4,239,"Mean Difference (IV, Random, 95% CI)","‐2.30 [‐5.16, 0.56]",Epidural analgesia compared with systemic analgesia,1,-2.3,-5.16,0.56,17,2,Pain at rest at 24 hours: data available as means and standard deviations,Off‐pump surgery
17.3 With and without cardiopulmonary bypass,1,110,"Mean Difference (IV, Random, 95% CI)","‐0.17 [‐0.78, 0.44]",Epidural analgesia compared with systemic analgesia,1,-0.17,-0.78,0.44,17,3,Pain at rest at 24 hours: data available as means and standard deviations,With and without cardiopulmonary bypass
18 Pain scores on movement/coughing at 24 hours Show forest plot,12,842,"Std. Mean Difference (Random, 95% CI)","‐0.83 [‐1.18, ‐0.49]",Epidural analgesia compared with systemic analgesia,1,-0.83,-1.18,-0.49,18,,Pain scores on movement/coughing at 24 hours,
18.1 With cardiopulmonary bypass,9,610,"Std. Mean Difference (Random, 95% CI)","‐0.90 [‐1.25, ‐0.55]",Epidural analgesia compared with systemic analgesia,1,-0.9,-1.25,-0.55,18,1,Pain scores on movement/coughing at 24 hours,With cardiopulmonary bypass
18.2 Off‐pump surgery,2,122,"Std. Mean Difference (Random, 95% CI)","‐1.03 [‐1.69, ‐0.38]",Epidural analgesia compared with systemic analgesia,1,-1.03,-1.69,-0.38,18,2,Pain scores on movement/coughing at 24 hours,Off‐pump surgery
18.3 With and without cardiopulmonary bypass,1,110,"Std. Mean Difference (Random, 95% CI)","0.22 [‐0.15, 0.60]",Epidural analgesia compared with systemic analgesia,1,0.22,-0.15,0.6,18,3,Pain scores on movement/coughing at 24 hours,With and without cardiopulmonary bypass
19 Pain scores on movement/coughing at 24 hours: data available as means and standard deviations Show forest plot,9,582,"Mean Difference (IV, Random, 95% CI)","‐1.74 [‐2.63, ‐0.86]",Epidural analgesia compared with systemic analgesia,1,-1.74,-2.63,-0.86,19,,Pain scores on movement/coughing at 24 hours: data available as means and standard deviations,
19.1 With cardiopulmonary bypass,6,350,"Mean Difference (IV, Random, 95% CI)","‐2.20 [‐3.30, ‐1.10]",Epidural analgesia compared with systemic analgesia,1,-2.2,-3.3,-1.1,19,1,Pain scores on movement/coughing at 24 hours: data available as means and standard deviations,With cardiopulmonary bypass
19.2 Off‐pump surgery,2,122,"Mean Difference (IV, Random, 95% CI)","‐1.20 [‐2.06, ‐0.34]",Epidural analgesia compared with systemic analgesia,1,-1.2,-2.06,-0.34,19,2,Pain scores on movement/coughing at 24 hours: data available as means and standard deviations,Off‐pump surgery
19.3 With and without cardiopulmonary bypass,1,110,"Mean Difference (IV, Random, 95% CI)","0.38 [‐0.26, 1.02]",Epidural analgesia compared with systemic analgesia,1,0.38,-0.26,1.02,19,3,Pain scores on movement/coughing at 24 hours: data available as means and standard deviations,With and without cardiopulmonary bypass
20 Pain at rest at 48 hours after surgery Show forest plot,15,1649,"Std. Mean Difference (Random, 95% CI)","‐1.01 [‐1.37, ‐0.64]",Epidural analgesia compared with systemic analgesia,1,-1.01,-1.37,-0.64,20,,Pain at rest at 48 hours after surgery,
20.1 With cardiopulmonary bypass,9,510,"Std. Mean Difference (Random, 95% CI)","‐0.76 [‐1.08, ‐0.44]",Epidural analgesia compared with systemic analgesia,1,-0.76,-1.08,-0.44,20,1,Pain at rest at 48 hours after surgery,With cardiopulmonary bypass
20.2 Off‐pump surgery,4,375,"Std. Mean Difference (Random, 95% CI)","‐2.11 [‐3.17, ‐1.05]",Epidural analgesia compared with systemic analgesia,1,-2.11,-3.17,-1.05,20,2,Pain at rest at 48 hours after surgery,Off‐pump surgery
20.3 With and without cardiopulmonary bypass,2,764,"Std. Mean Difference (Random, 95% CI)","‐0.25 [‐0.39, ‐0.10]",Epidural analgesia compared with systemic analgesia,1,-0.25,-0.39,-0.1,20,3,Pain at rest at 48 hours after surgery,With and without cardiopulmonary bypass
21 Pain at rest at 48 hours after surgery: data available as means and standard deviations Show forest plot,11,692,"Mean Difference (IV, Random, 95% CI)","‐1.31 [‐1.99, ‐0.64]",Epidural analgesia compared with systemic analgesia,1,-1.31,-1.99,-0.64,21,,Pain at rest at 48 hours after surgery: data available as means and standard deviations,
21.1 With cardiopulmonary bypass,7,400,"Mean Difference (IV, Random, 95% CI)","‐1.05 [‐1.73, ‐0.37]",Epidural analgesia compared with systemic analgesia,1,-1.05,-1.73,-0.37,21,1,Pain at rest at 48 hours after surgery: data available as means and standard deviations,With cardiopulmonary bypass
21.2 Off‐pump surgery,3,182,"Mean Difference (IV, Random, 95% CI)","‐2.38 [‐4.07, ‐0.70]",Epidural analgesia compared with systemic analgesia,1,-2.38,-4.07,-0.7,21,2,Pain at rest at 48 hours after surgery: data available as means and standard deviations,Off‐pump surgery
21.3 With and without cardiopulmonary bypass,1,110,"Mean Difference (IV, Random, 95% CI)","‐0.26 [‐0.83, 0.31]",Epidural analgesia compared with systemic analgesia,1,-0.26,-0.83,0.31,21,3,Pain at rest at 48 hours after surgery: data available as means and standard deviations,With and without cardiopulmonary bypass
22 Pain scores on movement/coughing at 48 hours Show forest plot,10,700,"Std. Mean Difference (Random, 95% CI)","‐0.83 [‐1.31, ‐0.35]",Epidural analgesia compared with systemic analgesia,1,-0.83,-1.31,-0.35,22,,Pain scores on movement/coughing at 48 hours,
22.1 With cardiopulmonary bypass,7,468,"Std. Mean Difference (Random, 95% CI)","‐0.78 [‐1.22, ‐0.34]",Epidural analgesia compared with systemic analgesia,1,-0.78,-1.22,-0.34,22,1,Pain scores on movement/coughing at 48 hours,With cardiopulmonary bypass
22.2 Off‐pump surgery,2,122,"Std. Mean Difference (Random, 95% CI)","‐1.56 [‐3.09, ‐0.03]",Epidural analgesia compared with systemic analgesia,1,-1.56,-3.09,-0.03,22,2,Pain scores on movement/coughing at 48 hours,Off‐pump surgery
22.3 With and without cardiopulmonary bypass,1,110,"Std. Mean Difference (Random, 95% CI)","0.33 [‐0.05, 0.70]",Epidural analgesia compared with systemic analgesia,1,0.33,-0.05,0.7,22,3,Pain scores on movement/coughing at 48 hours,With and without cardiopulmonary bypass
23 Pain scores on movement/coughing at 48 hours: data available as means and standard deviations Show forest plot,9,582,"Mean Difference (IV, Random, 95% CI)","‐1.30 [0.00, ‐0.60]",Epidural analgesia compared with systemic analgesia,1,-1.3,0.0,-0.6,23,,Pain scores on movement/coughing at 48 hours: data available as means and standard deviations,
23.1 With cardiopulmonary bypass,6,350,"Mean Difference (IV, Random, 95% CI)","‐1.61 [‐2.56, ‐0.65]",Epidural analgesia compared with systemic analgesia,1,-1.61,-2.56,-0.65,23,1,Pain scores on movement/coughing at 48 hours: data available as means and standard deviations,With cardiopulmonary bypass
23.2 Off‐pump surgery,2,122,"Mean Difference (IV, Random, 95% CI)","‐1.22 [‐1.99, ‐0.45]",Epidural analgesia compared with systemic analgesia,1,-1.22,-1.99,-0.45,23,2,Pain scores on movement/coughing at 48 hours: data available as means and standard deviations,Off‐pump surgery
23.3 With and without cardiopulmonary bypass,1,110,"Mean Difference (IV, Random, 95% CI)","0.64 [‐0.09, 1.37]",Epidural analgesia compared with systemic analgesia,1,0.64,-0.09,1.37,23,3,Pain scores on movement/coughing at 48 hours: data available as means and standard deviations,With and without cardiopulmonary bypass
24 Pain at rest at 72 hours after surgery Show forest plot,12,897,"Std. Mean Difference (Random, 95% CI)","‐1.09 [‐1.57, ‐0.62]",Epidural analgesia compared with systemic analgesia,1,-1.09,-1.57,-0.62,24,,Pain at rest at 72 hours after surgery,
24.1 With cardiopulmonary bypass,7,412,"Std. Mean Difference (Random, 95% CI)","‐0.99 [‐1.66, ‐0.33]",Epidural analgesia compared with systemic analgesia,1,-0.99,-1.66,-0.33,24,1,Pain at rest at 72 hours after surgery,With cardiopulmonary bypass
24.2 Off‐pump surgery,4,375,"Std. Mean Difference (Random, 95% CI)","‐1.54 [‐2.14, ‐0.94]",Epidural analgesia compared with systemic analgesia,1,-1.54,-2.14,-0.94,24,2,Pain at rest at 72 hours after surgery,Off‐pump surgery
24.3 With and without cardiopulmonary bypass,1,110,"Std. Mean Difference (Random, 95% CI)","‐0.01 [‐0.38, 0.37]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.38,0.37,24,3,Pain at rest at 72 hours after surgery,With and without cardiopulmonary bypass
25 Pain at rest at 72 hours after surgery: data available as means and standard deviations Show forest plot,10,624,"Mean Difference (IV, Random, 95% CI)","‐1.02 [‐1.41, ‐0.63]",Epidural analgesia compared with systemic analgesia,1,-1.02,-1.41,-0.63,25,,Pain at rest at 72 hours after surgery: data available as means and standard deviations,
25.1 With cardiopulmonary bypass,6,332,"Mean Difference (IV, Random, 95% CI)","‐1.09 [‐1.71, ‐0.46]",Epidural analgesia compared with systemic analgesia,1,-1.09,-1.71,-0.46,25,1,Pain at rest at 72 hours after surgery: data available as means and standard deviations,With cardiopulmonary bypass
25.2 Off‐pump surgery,3,182,"Mean Difference (IV, Random, 95% CI)","‐1.27 [‐1.96, ‐0.59]",Epidural analgesia compared with systemic analgesia,1,-1.27,-1.96,-0.59,25,2,Pain at rest at 72 hours after surgery: data available as means and standard deviations,Off‐pump surgery
25.3 With and without cardiopulmonary bypass,1,110,"Mean Difference (IV, Random, 95% CI)","‐0.01 [‐0.47, 0.45]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.47,0.45,25,3,Pain at rest at 72 hours after surgery: data available as means and standard deviations,With and without cardiopulmonary bypass
26 Pain scores on movement/coughing at 72 hours Show forest plot,9,654,"Std. Mean Difference (Random, 95% CI)","‐0.62 [‐1.13, ‐0.11]",Epidural analgesia compared with systemic analgesia,1,-0.62,-1.13,-0.11,26,,Pain scores on movement/coughing at 72 hours,
26.1 With cardiopulmonary bypass,6,422,"Std. Mean Difference (Random, 95% CI)","‐0.40 [‐0.90, 0.09]",Epidural analgesia compared with systemic analgesia,1,-0.4,-0.9,0.09,26,1,Pain scores on movement/coughing at 72 hours,With cardiopulmonary bypass
26.2 Off‐pump surgery,2,122,"Std. Mean Difference (Random, 95% CI)","‐1.69 [‐3.32, ‐0.07]",Epidural analgesia compared with systemic analgesia,1,-1.69,-3.32,-0.07,26,2,Pain scores on movement/coughing at 72 hours,Off‐pump surgery
26.3 With and without cardiopulmonary bypass,1,110,"Std. Mean Difference (Random, 95% CI)","0.09 [‐0.28, 0.47]",Epidural analgesia compared with systemic analgesia,1,0.09,-0.28,0.47,26,3,Pain scores on movement/coughing at 72 hours,With and without cardiopulmonary bypass
27 Pain scores on movement/coughing at 72 hours: data available as means and standard deviations Show forest plot,7,454,"Mean Difference (IV, Random, 95% CI)","‐0.90 [‐1.49, ‐0.30]",Epidural analgesia compared with systemic analgesia,1,-0.9,-1.49,-0.3,27,,Pain scores on movement/coughing at 72 hours: data available as means and standard deviations,
27.1 With cardiopulmonary bypass,4,222,"Mean Difference (IV, Random, 95% CI)","‐1.02 [‐2.05, 0.02]",Epidural analgesia compared with systemic analgesia,1,-1.02,-2.05,0.02,27,1,Pain scores on movement/coughing at 72 hours: data available as means and standard deviations,With cardiopulmonary bypass
27.2 Off‐pump surgery,2,122,"Mean Difference (IV, Random, 95% CI)","‐1.17 [‐1.93, ‐0.42]",Epidural analgesia compared with systemic analgesia,1,-1.17,-1.93,-0.42,27,2,Pain scores on movement/coughing at 72 hours: data available as means and standard deviations,Off‐pump surgery
27.3 With and without cardiopulmonary bypass,1,110,"Mean Difference (IV, Random, 95% CI)","0.19 [‐0.57, 0.95]",Epidural analgesia compared with systemic analgesia,1,0.19,-0.57,0.95,27,3,Pain scores on movement/coughing at 72 hours: data available as means and standard deviations,With and without cardiopulmonary bypass
