Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Incidence of typhoid fever Show forest plot,6,,"Risk Ratio (Random, 95% CI)",Subtotals only,Vi polysaccharide vaccine (1 dose) versus control: efficacy,5,,,,1,,Incidence of typhoid fever,
1.1 Year 1,3,99797,"Risk Ratio (Random, 95% CI)","0.31 [0.26, 0.37]",Vi polysaccharide vaccine (1 dose) versus control: efficacy,5,0.31,0.26,0.37,1,1,Incidence of typhoid fever,Year 1
1.2 Year 2,4,194969,"Risk Ratio (Random, 95% CI)","0.41 [0.31, 0.55]",Vi polysaccharide vaccine (1 dose) versus control: efficacy,5,0.41,0.31,0.55,1,2,Incidence of typhoid fever,Year 2
1.3 Year 3,1,11384,"Risk Ratio (Random, 95% CI)","0.50 [0.32, 0.78]",Vi polysaccharide vaccine (1 dose) versus control: efficacy,5,0.5,0.32,0.78,1,3,Incidence of typhoid fever,Year 3
2 Cumulative incidence of typhoid fever at 2.5 to 3 years Show forest plot,1,11384,"Risk Ratio (M‐H, Random, 95% CI)","0.45 [0.30, 0.70]",Vi polysaccharide vaccine (1 dose) versus control: efficacy,5,0.45,0.3,0.7,2,,Cumulative incidence of typhoid fever at 2.5 to 3 years,
1 Fever Show forest plot,4,133038,"Risk Ratio (M‐H, Random, 95% CI)","0.98 [0.85, 1.14]",Vi polysaccharide vaccine versus control: adverse events,6,0.98,0.85,1.14,1,,Fever,
2 Erythema Show forest plot,3,132261,"Risk Ratio (M‐H, Random, 95% CI)","3.04 [0.45, 20.30]",Vi polysaccharide vaccine versus control: adverse events,6,3.04,0.45,20.3,2,,Erythema,
3 Swelling at injection site Show forest plot,3,1767,"Risk Ratio (M‐H, Random, 95% CI)","6.06 [1.07, 34.22]",Vi polysaccharide vaccine versus control: adverse events,6,6.06,1.07,34.22,3,,Swelling at injection site,
4 Pain at injection site Show forest plot,1,667,"Risk Ratio (M‐H, Random, 95% CI)","7.98 [3.69, 17.24]",Vi polysaccharide vaccine versus control: adverse events,6,7.98,3.69,17.24,4,,Pain at injection site,
5 Serious adverse events Show forest plot,4,133038,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Vi polysaccharide vaccine versus control: adverse events,6,0.0,0.0,0.0,5,,Serious adverse events,
1 Incidence of typhoid fever Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Vi‐rEPA (2 doses) versus control: efficacy,7,,,,1,,Incidence of typhoid fever,
1.1 Year 1,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","0.06 [0.01, 0.25]",Vi‐rEPA (2 doses) versus control: efficacy,7,0.06,0.01,0.25,1,1,Incidence of typhoid fever,Year 1
1.2 Year 2,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","0.13 [0.04, 0.44]",Vi‐rEPA (2 doses) versus control: efficacy,7,0.13,0.04,0.44,1,2,Incidence of typhoid fever,Year 2
1.3 Cumulative 2 years,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","0.09 [0.04, 0.22]",Vi‐rEPA (2 doses) versus control: efficacy,7,0.09,0.04,0.22,1,3,Incidence of typhoid fever,Cumulative 2 years
1.4 Cumulative 46 months,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","0.11 [0.05, 0.23]",Vi‐rEPA (2 doses) versus control: efficacy,7,0.11,0.05,0.23,1,4,Incidence of typhoid fever,Cumulative 46 months
1 Fever after Vi‐rEPA (dose1) Show forest plot,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","2.54 [1.69, 3.82]",Vi‐rEPA vaccine versus control: adverse events,8,2.54,1.69,3.82,1,,Fever after Vi‐rEPA (dose1),
2 Fever after Vi‐rEPA (dose 2) Show forest plot,1,11091,"Risk Ratio (M‐H, Random, 95% CI)","4.39 [2.85, 6.77]",Vi‐rEPA vaccine versus control: adverse events,8,4.39,2.85,6.77,2,,Fever after Vi‐rEPA (dose 2),
3 Erythema after Vi‐rEPA (dose 1) Show forest plot,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Vi‐rEPA vaccine versus control: adverse events,8,0.0,0.0,0.0,3,,Erythema after Vi‐rEPA (dose 1),
4 Erythema after Vi‐rEPA (dose 2) Show forest plot,1,11091,"Risk Ratio (M‐H, Random, 95% CI)","2.01 [0.18, 22.21]",Vi‐rEPA vaccine versus control: adverse events,8,2.01,0.18,22.21,4,,Erythema after Vi‐rEPA (dose 2),
5 Swelling at injection site after Vi‐rEPA (dose 1) Show forest plot,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Vi‐rEPA vaccine versus control: adverse events,8,0.0,0.0,0.0,5,,Swelling at injection site after Vi‐rEPA (dose 1),
6 Swelling at injection site after Vi‐rEPA (dose 2) Show forest plot,1,11091,"Risk Ratio (M‐H, Random, 95% CI)","20.15 [2.71, 150.08]",Vi‐rEPA vaccine versus control: adverse events,8,20.15,2.71,150.08,6,,Swelling at injection site after Vi‐rEPA (dose 2),
7 Serious adverse events Show forest plot,1,12008,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Vi‐rEPA vaccine versus control: adverse events,8,0.0,0.0,0.0,7,,Serious adverse events,
"1 Incidence of typhoid fever, Year 1 Show forest plot",1,1353,"Risk Ratio (M‐H, Random, 95% CI)","0.06 [0.00, 1.01]",Vi‐TT vaccine Peda Typh (2 doses) versus control: efficacy,9,0.06,0.0,1.01,1,,"Incidence of typhoid fever, Year 1",
