reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD002143-bib-0011,"Senkus‐Konefka E, Dziadziuszko R, Bednaruk‐Mlynski E, Pliszka A, Kubrak J, Lewandowska A, et al. ",A prospective randomised study to compare two palliative radiotherapy schedules for non‐small cell lung cancer (NSCLC), British Journal of Cancer ,2005,92,    ,['citation-journal']," Senkus‐Konefka E, Dziadziuszko R, Bednaruk‐Mlynski E, Pliszka A, Kubrak J, Lewandowska A, et al. A prospective randomised study to compare two palliative radiotherapy schedules for non‐small cell lung cancer (NSCLC).  British Journal of Cancer 2005;92:1038‐45.    Link to article     Google Scholar     ","['https://doi.org/10.1038/sj.bjc.6602477', 'https://scholar.google.com/scholar_lookup?title=A+prospective+randomised+study+to+compare+two+palliative+radiotherapy+schedules+for+non‐small+cell+lung+cancer+(NSCLC)+&author=E+Senkus‐Konefka&author=R+Dziadziuszko&author=E+Bednaruk‐Mlynski&author=A+Pliszka&author=J+Kubrak&author=A+Lewandowska&publication_year=2005&hl=en']",,https://doi.org/10.1038/sj.bjc.6602477, Senkus‐Konefka 2005 {published and unpublished data}  ,included,CD002143-bbs2-0011,,,15770205,15770205,73.0,https://www.nature.com/articles/6602477.pdf,http://core.ac.uk/labs/oadiscovery/redirect?url=https%3A%2F%2Fwww.nature.com%2Farticles%2F6602477.pdf&key=659643DC002139F32E6A1E4AAB0AD6AA,15770205
CD002143-bib-0012,"Simpson JR, Francis ME, Perez‐Tamayo R, Marks RD, Rao DV. ",Palliative radiotherapy for inoperable carcinoma of the lung: final report of a RTOG multi‐institutional trial," International Journal of Radiation, Oncology, Biology and Physics ",1985,11,    ,['citation-journal']," Simpson JR, Francis ME, Perez‐Tamayo R, Marks RD, Rao DV. Palliative radiotherapy for inoperable carcinoma of the lung: final report of a RTOG multi‐institutional trial.  International Journal of Radiation, Oncology, Biology and Physics 1985;11:751‐8.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0360-3016(85)90307-4', 'https://scholar.google.com/scholar_lookup?title=Palliative+radiotherapy+for+inoperable+carcinoma+of+the+lung:+final+report+of+a+RTOG+multi‐institutional+trial+&author=JR+Simpson&author=ME+Francis&author=R+Perez‐Tamayo&author=RD+Marks&author=DV+Rao&publication_year=1985&hl=en']",,https://doi.org/10.1016/0360-3016(85)90307-4, Simpson 1985 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0012,,2579938,2579938,2579938,177.0,,,2579938
CD002143-bib-0013,"Sundstrom S, Bremnes R, Aasebo U, Aamdal S, Hatlevoll R, Brunsvig P, et al. ",Hypofractionated palliative radiotherapy (17Gy per 2 fractions) in advanced non‐small cell lung carcinoma is comparable to standard fractionation for symptom control and survival: a national phase III trial, Journal of Clinical Oncology ,2004,22,    ,['citation-journal']," Sundstrom S, Bremnes R, Aasebo U, Aamdal S, Hatlevoll R, Brunsvig P, et al. Hypofractionated palliative radiotherapy (17Gy per 2 fractions) in advanced non‐small cell lung carcinoma is comparable to standard fractionation for symptom control and survival: a national phase III trial.  Journal of Clinical Oncology 2004;22:801‐10.    Link to article     Google Scholar     ","['https://doi.org/10.1200/JCO.2004.06.123', 'https://scholar.google.com/scholar_lookup?title=Hypofractionated+palliative+radiotherapy+(17Gy+per+2+fractions)+in+advanced+non‐small+cell+lung+carcinoma+is+comparable+to+standard+fractionation+for+symptom+control+and+survival:+a+national+phase+III+trial+&author=S+Sundstrom&author=R+Bremnes&author=U+Aasebo&author=S+Aamdal&author=R+Hatlevoll&author=P+Brunsvig&publication_year=2004&hl=en']",,https://doi.org/10.1200/JCO.2004.06.123, Sundstrom 2004 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0013,,,,14990635,167.0,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2004.06.123?role=tab,http://core.ac.uk/labs/oadiscovery/redirect?url=http%3A%2F%2Fpdfs.semanticscholar.org%2F92f3%2F6efb98070ef9be772629ea28efaa252d86ae.pdf&key=D21C5679C9DF9BB5F9F7DB8D94237F01,14990635
CD002143-bib-0014,"Teo P, Tai TH, Choy D, Tsui KH. ",A randomized study on palliative radiation therapy for inoperable non small cell carcinoma of the lung," International Journal of Radiation, Oncology, Biology and Physics ",1988,14,    ,['citation-journal']," Teo P, Tai TH, Choy D, Tsui KH. A randomized study on palliative radiation therapy for inoperable non small cell carcinoma of the lung.  International Journal of Radiation, Oncology, Biology and Physics 1988;14:867‐71.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0360-3016(88)90007-7', 'https://scholar.google.com/scholar_lookup?title=A+randomized+study+on+palliative+radiation+therapy+for+inoperable+non+small+cell+carcinoma+of+the+lung+&author=P+Teo&author=TH+Tai&author=D+Choy&author=KH+Tsui&publication_year=1988&hl=en']",,https://doi.org/10.1016/0360-3016(88)90007-7, Teo 1988 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0014,,,,2452146,107.0,,,2452146
CD002143-bib-0015,"Carroll M, Morgan SA, Yarnold JR, Hill JM, Wright NM. ",Prospective evaluation of a watch policy in patients with inoperable non‐small cell lung cancer, European Journal of Cancer and Clinical Oncology ,1986,22,    ,['citation-journal']," Carroll M, Morgan SA, Yarnold JR, Hill JM, Wright NM. Prospective evaluation of a watch policy in patients with inoperable non‐small cell lung cancer.  European Journal of Cancer and Clinical Oncology 1986;22(11):1353‐6.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0277-5379(86)90144-6', 'https://scholar.google.com/scholar_lookup?title=Prospective+evaluation+of+a+watch+policy+in+patients+with+inoperable+non‐small+cell+lung+cancer+&author=M+Carroll&author=SA+Morgan&author=JR+Yarnold&author=JM+Hill&author=NM+Wright&publication_year=1986&hl=en']",,https://doi.org/10.1016/0277-5379(86)90144-6, Carroll 1986 {published data only}  ,excluded,CD002143-bbs2-0015, Non‐randomised study comparing palliative radiotherapy with delayed palliative radiotherapy. ,2435556,,2435556,41.0,,,2435556
CD002143-bib-0016,"Collins TM, Ash DV, Close HJ, Thorogood J. ",An evaluation of the palliative role of radiotherapy in inoperable carcinoma of the bronchus, Clinical Radiology ,1988,39,    ,['citation-journal']," Collins TM, Ash DV, Close HJ, Thorogood J. An evaluation of the palliative role of radiotherapy in inoperable carcinoma of the bronchus.  Clinical Radiology 1988;39:284‐6.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0009-9260(88)80398-2', 'https://scholar.google.com/scholar_lookup?title=An+evaluation+of+the+palliative+role+of+radiotherapy+in+inoperable+carcinoma+of+the+bronchus+&author=TM+Collins&author=DV+Ash&author=HJ+Close&author=J+Thorogood&publication_year=1988&hl=en']",,https://doi.org/10.1016/S0009-9260(88)80398-2, Collins 1988 {published data only}  ,excluded,CD002143-bbs2-0016, Retrospective review of non‐randomised data ,2456177,2456177,,,,,2456177
CD002143-bib-0017,"Exposito J, Linares A, Cano C, del Moral R, Martinez M, Hernandez V. ",Radiotherapy for advanced non‐small cell lung cancer: first results of an randomised trial, Oncologia ,1994,17,    ,['citation-journal']," Exposito J, Linares A, Cano C, del Moral R, Martinez M, Hernandez V. Radiotherapy for advanced non‐small cell lung cancer: first results of an randomised trial [Papel de la radioterapia en el cancer de pulmon no microcitico avanzado. primors reultados de un ensayo randomizado.].  Oncologia 1994;17(10):339‐405.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=Radiotherapy+for+advanced+non‐small+cell+lung+cancer:+first+results+of+an+randomised+trial+&author=J+Exposito&author=A+Linares&author=C+Cano&author=R+Moral&author=M+Martinez&author=V+Hernandez&publication_year=1994&hl=en'],,, Exposito 1994 {published data only}  ,excluded,CD002143-bbs2-0017, Randomised study comparing palliative radiotherapy with 'best supportive care'. ,,,,,,,
CD002143-bib-0018,"Lupatelli M, Maranzo E, Bellavita R, Chionne F, Darwish S, Piro F, Latini P. ",Short‐course palliative radiotherapy in non‐small‐cell lung cancer, American Journal of Clinical Oncology (CCT) ,2000,23,    ,['citation-journal']," Lupatelli M, Maranzo E, Bellavita R, Chionne F, Darwish S, Piro F, Latini P. Short‐course palliative radiotherapy in non‐small‐cell lung cancer.  American Journal of Clinical Oncology (CCT) 2000;23(1):83‐93.    Link to article     Google Scholar     ","['https://doi.org/10.1097/00000421-200002000-00024', 'https://scholar.google.com/scholar_lookup?title=Short‐course+palliative+radiotherapy+in+non‐small‐cell+lung+cancer&author=M+Lupatelli&author=E+Maranzo&author=R+Bellavita&author=F+Chionne&author=S+Darwish&author=F+Piro&author=P+Latini&publication_year=2000&hl=en']",,https://doi.org/10.1097/00000421-200002000-00024, Lupattelli 2000 {published data only}  ,excluded,CD002143-bbs2-0018, Non‐randomised series ,,,10683087,50,,,10683087
CD002143-bib-0019,"Mohamed A, Eldeeb NA, Belal AM, Ganady A. ",Feasibility of hypofractionated radiation therapy (RT) for end‐of‐life palliation: preliminary results from a prospective randomized study," International Journal of Radiation Oncology, Biology, Physics ",,84,    ,['citation-journal']," Mohamed A, Eldeeb NA, Belal AM, Ganady A. Feasibility of hypofractionated radiation therapy (RT) for end‐of‐life palliation: preliminary results from a prospective randomized study.  International Journal of Radiation Oncology, Biology, Physics  1 Nov 2012;84(3S):S549.    Link to article     ",['https://doi.org/10.1016/j.ijrobp.2012.07.1463'],,https://doi.org/10.1016/j.ijrobp.2012.07.1463, Mohamed 2012 {published data only}  ,excluded,CD002143-bbs2-0019," Only published in abstract form, insufficient data for analysis ",,,,0,,,
CD002143-bib-0020,"Scolaro T, Bacigalupo A, Giudici S, Vitale V. ",Single fraction palliative radiotherapy in inoperable non‐small cell lung cancer, La Radiogica Medica ,1995,90,    ,['citation-journal']," Scolaro T, Bacigalupo A, Giudici S, Vitale V. Single fraction palliative radiotherapy in inoperable non‐small cell lung cancer [Radioterapia palliativa con dose singola nel carcinoma polmonare inoperabile non a piccole cellule].  La Radiogica Medica 1995;90:808‐11.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=Single+fraction+palliative+radiotherapy+in+inoperable+non‐small+cell+lung+cancer&author=T+Scolaro&author=A+Bacigalupo&author=S+Giudici&author=V+Vitale&publication_year=1995&hl=en'],,, Scolaro 1995 {published data only}  ,excluded,CD002143-bbs2-0020, Non‐randomised series ,8685468,,,,,,8685468
CD002143-bib-0021,"Slotman BJ, Njo KH, de Jonge A, Meijer OWM, Karim ABMF. ",Palliative radiotherapy in advanced metastatic and non‐metastatic non‐small cell lung cancer, Lung Cancer ,1993,8,    ,['citation-journal']," Slotman BJ, Njo KH, de Jonge A, Meijer OWM, Karim ABMF. Palliative radiotherapy in advanced metastatic and non‐metastatic non‐small cell lung cancer.  Lung Cancer 1993;8:285‐92.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0169-5002(93)90477-F', 'https://scholar.google.com/scholar_lookup?title=Palliative+radiotherapy+in+advanced+metastatic+and+non‐metastatic+non‐small+cell+lung+cancer+&author=BJ+Slotman&author=KH+Njo&author=A+Jonge&author=OWM+Meijer&author=ABMF+Karim&publication_year=1993&hl=en']",,https://doi.org/10.1016/0169-5002(93)90477-F, Slotman 1993 {published data only}  ,excluded,CD002143-bbs2-0021, Retrospective review of non‐randomised data ,,,,4,,,
CD002143-bib-0022,"Stevens MJ, Begbie SD. ",Hypofractionated irradiation for inoperable non‐small cell lung cancer, Australasian Radiology ,1995,39,    ,['citation-journal']," Stevens MJ, Begbie SD. Hypofractionated irradiation for inoperable non‐small cell lung cancer.  Australasian Radiology 1995;39:265‐70.    Link to article     Google Scholar     ","['https://doi.org/10.1111/j.1440-1673.1995.tb00290.x', 'https://scholar.google.com/scholar_lookup?title=Hypofractionated+irradiation+for+inoperable+non‐small+cell+lung+cancer&author=MJ+Stevens&author=SD+Begbie&publication_year=1995&hl=en']",,https://doi.org/10.1111/j.1440-1673.1995.tb00290.x, Stevens 1995 {published data only}  ,excluded,CD002143-bbs2-0022, Non‐randomised series ,7487763,,7487763,20,,,7487763
CD002143-bib-0023,"Vyas RK, Suryanarayana U, Dixit S, Singhal S, Bhavsar DC, Neema JP, et al. ",Inoperable non‐small cell lung cancer: palliative radiotherapy with two weekly fractions, Indian Journal of Chest Diseases and Allied Sciences ,1998,40,    ,['citation-journal']," Vyas RK, Suryanarayana U, Dixit S, Singhal S, Bhavsar DC, Neema JP, et al. Inoperable non‐small cell lung cancer: palliative radiotherapy with two weekly fractions.  Indian Journal of Chest Diseases and Allied Sciences 1998;40:171‐4.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=Inoperable+non‐small+cell+lung+cancer:+palliative+radiotherapy+with+two+weekly+fractions&author=RK+Vyas&author=U+Suryanarayana&author=S+Dixit&author=S+Singhal&author=DC+Bhavsar&author=JP+Neema&publication_year=1998&hl=en'],,, Vyas 1998 {published data only}  ,excluded,CD002143-bbs2-0023, Non‐randomised series ,,9919836,,,,,9919836
CD002143-bib-0024,"Aaronson NK, Ahmedzai S, Bergman B. ",The European Organisation for Research and Treatment of Cancer QLQ‐C30: a quality of life instrument for use in international clinical trials in oncology, Journal of the National Cancer Institute ,1993,85,    ,['citation-journal']," Aaronson NK, Ahmedzai S, Bergman B. The European Organisation for Research and Treatment of Cancer QLQ‐C30: a quality of life instrument for use in international clinical trials in oncology.  Journal of the National Cancer Institute 1993;85:365‐76.    Link to article     Google Scholar     ","['https://doi.org/10.1093/jnci/85.5.365', 'https://scholar.google.com/scholar_lookup?title=The+European+Organisation+for+Research+and+Treatment+of+Cancer+QLQ‐C30:+a+quality+of+life+instrument+for+use+in+international+clinical+trials+in+oncology+&author=NK+Aaronson&author=S+Ahmedzai&author=B+Bergman&publication_year=1993&hl=en']",,https://doi.org/10.1093/jnci/85.5.365, Aaronson 1993 ,additional,CD002143-bbs2-0024,,8433390,,8433390,12487,,,8433390
CD002143-bib-0025,"Boyle P, Gandini S, Gray N. ",Epidemiology of lung cancer: a century of great success and ignominious failure,IASLC Textbook of Lung Cancer,2000,,    ,['citation-book']," Boyle P, Gandini S, Gray N. Epidemiology of lung cancer: a century of great success and ignominious failure. In: Hansen H editor(s). IASLC Textbook of Lung Cancer. London: Martin Dunitz, 2000:13‐26.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=Epidemiology+of+lung+cancer:+a+century+of+great+success+and+ignominious+failure&author=P+Boyle&author=S+Gandini&author=N+Gray&publication_year=2000&hl=en'],,, Boyle 2000 ,additional,CD002143-bbs2-0025,,,,,,,,
CD002143-bib-0026,"Ching M, Jiang G‐J, Fu X‐L, Wang L‐J, Qian H, Chen G‐Y, et al. ",The impact of overall treatment time on outcomes in radiation therapy for non‐small cell lung cancer, Lung Cancer ,2000,28,    ,['citation-journal']," Ching M, Jiang G‐J, Fu X‐L, Wang L‐J, Qian H, Chen G‐Y, et al. The impact of overall treatment time on outcomes in radiation therapy for non‐small cell lung cancer.  Lung Cancer 2000;28:11‐9.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=The+impact+of+overall+treatment+time+on+outcomes+in+radiation+therapy+for+non‐small+cell+lung+cancer+&author=M+Ching&author=G‐J+Jiang&author=X‐L+Fu&author=L‐J+Wang&author=H+Qian&author=G‐Y+Chen&publication_year=2000&hl=en'],,, Ching 2000 ,additional,CD002143-bbs2-0026,,,,,,,,
CD002143-bib-0027,"Cox JD, Pajak TF, Asbell S, Russell AH, Pederson J, Byhardt RW, et al. ",Interruptions of high dose radiotherapy decrease long term survival of favorable patients with unresectable non‐small cell lung cancer: analysis of 1244 cases from 3 RTOG trials," International Journal of Radiation Oncology, Biology, Physics ",1993,27,    ,['citation-journal']," Cox JD, Pajak TF, Asbell S, Russell AH, Pederson J, Byhardt RW, et al. Interruptions of high dose radiotherapy decrease long term survival of favorable patients with unresectable non‐small cell lung cancer: analysis of 1244 cases from 3 RTOG trials.  International Journal of Radiation Oncology, Biology, Physics 1993;27:493‐8.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0360-3016(93)90371-2', 'https://scholar.google.com/scholar_lookup?title=Interruptions+of+high+dose+radiotherapy+decrease+long+term+survival+of+favorable+patients+with+unresectable+non‐small+cell+lung+cancer:+analysis+of+1244+cases+from+3+RTOG+trials+&author=JD+Cox&author=TF+Pajak&author=S+Asbell&author=AH+Russell&author=J+Pederson&author=RW+Byhardt&publication_year=1993&hl=en']",,https://doi.org/10.1016/0360-3016(93)90371-2, Cox 1993 ,additional,CD002143-bbs2-0027,,,,8226140,222,,,8226140
CD002143-bib-0028,"Dardoufas C, Platanoitis GA, Damatopolou A, Kouvaris J, Vlahos L. ","A case of radiation myelopathy after 2 x 8,5 Gy for inoperable non‐small cell lung cancer", European Journal of Cancer ,1995,31A,    ,['citation-journal']," Dardoufas C, Platanoitis GA, Damatopolou A, Kouvaris J, Vlahos L. A case of radiation myelopathy after 2 x 8,5 Gy for inoperable non‐small cell lung cancer.  European Journal of Cancer 1995;31A:2418‐9.    Google Scholar     ","['https://scholar.google.com/scholar_lookup?title=A+case+of+radiation+myelopathy+after+2+x+8,5+Gy+for+inoperable+non‐small+cell+lung+cancer+&author=C+Dardoufas&author=GA+Platanoitis&author=A+Damatopolou&author=J+Kouvaris&author=L+Vlahos&publication_year=1995&hl=en']",,, Dardoufas 1995 ,additional,CD002143-bbs2-0028,,,,,,,,
