Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 D(M)FS Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,500 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),13,,,,1,,D(M)FS,
2 D(M)FT Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,500 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),13,,,,2,,D(M)FT,
1 D(M)FS Show forest plot,7,13094,"Std. Mean Difference (IV, Random, 95% CI)","‐0.10 [‐0.14, ‐0.05]",1000 ppm F versus 1450 ppm F in children and adolescents (immature permanent dentition),14,-0.1,-0.14,-0.05,1,,D(M)FS,
2 D(M)FT Show forest plot,4,,"Std. Mean Difference (IV, Random, 95% CI)",Totals not selected,1000 ppm F versus 1450 ppm F in children and adolescents (immature permanent dentition),14,,,,2,,D(M)FT,
3 Proportion developing new caries Show forest plot,2,4328,"Risk Ratio (M‐H, Random, 95% CI)","1.02 [0.93, 1.11]",1000 ppm F versus 1450 ppm F in children and adolescents (immature permanent dentition),14,1.02,0.93,1.11,3,,Proportion developing new caries,
1 D(M)FS Show forest plot,5,14196,"Std. Mean Difference (IV, Random, 95% CI)","‐0.02 [‐0.05, 0.01]",1000 ppm F versus 1700 ppm F in children and adolescents (immature permanent dentition),15,-0.02,-0.05,0.01,1,,D(M)FS,
2 D(M)FT Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,1000 ppm F versus 1700 ppm F in children and adolescents (immature permanent dentition),15,,,,2,,D(M)FT,
1 D(M)FS Show forest plot,6,10553,"Std. Mean Difference (IV, Random, 95% CI)","‐0.08 [‐0.12, ‐0.04]",1000 ppm F versus 2400 ppm F in children and adolescents (immature permanent dentition),16,-0.08,-0.12,-0.04,1,,D(M)FS,
2 D(M)FT Show forest plot,3,7044,"Std. Mean Difference (IV, Random, 95% CI)","‐0.06 [‐0.12, 0.00]",1000 ppm F versus 2400 ppm F in children and adolescents (immature permanent dentition),16,-0.06,-0.12,0.0,2,,D(M)FT,
1 D(M)FS Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,1450 ppm F versus 2400 ppm F in children and adolescents (immature permanent dentition),17,,,,1,,D(M)FS,
1 D(M)FS Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,1700 ppm F versus 2400 ppm F in children and adolescents (immature permanent dentition),18,,,,1,,D(M)FS,
2 D(M)FT Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,1700 ppm F versus 2400 ppm F in children and adolescents (immature permanent dentition),18,,,,2,,D(M)FT,
