Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
12.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐3.30 [‐6.56, ‐0.04]",Acupuncture versus sham procedure,1,-3.3,-6.56,-0.04,12,2,Urinary symptoms,Electroacupuncture
1 Prostatitis symptoms (NIH‐CPSI total) Show forest plot,3,203,"Mean Difference (IV, Random, 95% CI)","‐4.09 [‐6.87, ‐1.30]",Acupuncture treatments versus medical treatment,2,-4.09,-6.87,-1.3,1,,Prostatitis symptoms (NIH‐CPSI total),
1.1 Acupuncture,2,116,"Mean Difference (IV, Random, 95% CI)","‐2.97 [‐9.36, 3.43]",Acupuncture treatments versus medical treatment,2,-2.97,-9.36,3.43,1,1,Prostatitis symptoms (NIH‐CPSI total),Acupuncture
1.2 Electroacupuncture,1,24,"Mean Difference (IV, Random, 95% CI)","‐6.0 [‐8.50, ‐3.50]",Acupuncture treatments versus medical treatment,2,-6.0,-8.5,-3.5,1,2,Prostatitis symptoms (NIH‐CPSI total),Electroacupuncture
1.3 Acupuncture (Moxibustion),1,63,"Mean Difference (IV, Random, 95% CI)","‐3.74 [‐7.41, ‐0.07]",Acupuncture treatments versus medical treatment,2,-3.74,-7.41,-0.07,1,3,Prostatitis symptoms (NIH‐CPSI total),Acupuncture (Moxibustion)
2 Prostatitis symptoms: pain subscore Show forest plot,2,78,"Mean Difference (IV, Fixed, 95% CI)","‐2.90 [‐4.05, ‐1.76]",Acupuncture treatments versus medical treatment,2,-2.9,-4.05,-1.76,2,,Prostatitis symptoms: pain subscore,
2.1 Acupuncture,1,54,"Mean Difference (IV, Fixed, 95% CI)","‐2.76 [‐4.57, ‐0.95]",Acupuncture treatments versus medical treatment,2,-2.76,-4.57,-0.95,2,1,Prostatitis symptoms: pain subscore,Acupuncture
2.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐3.00 [‐4.48, ‐1.52]",Acupuncture treatments versus medical treatment,2,-3.0,-4.48,-1.52,2,2,Prostatitis symptoms: pain subscore,Electroacupuncture
3 Prostatitis symptoms: micturition subscore Show forest plot,2,78,"Mean Difference (IV, Fixed, 95% CI)","‐1.15 [‐1.96, ‐0.35]",Acupuncture treatments versus medical treatment,2,-1.15,-1.96,-0.35,3,,Prostatitis symptoms: micturition subscore,
3.1 Acupuncture,1,54,"Mean Difference (IV, Fixed, 95% CI)","‐0.95 [‐2.03, 0.13]",Acupuncture treatments versus medical treatment,2,-0.95,-2.03,0.13,3,1,Prostatitis symptoms: micturition subscore,Acupuncture
3.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐1.4 [‐2.60, ‐0.20]",Acupuncture treatments versus medical treatment,2,-1.4,-2.6,-0.2,3,2,Prostatitis symptoms: micturition subscore,Electroacupuncture
4 Prostatitis symptoms: quality of life subscore Show forest plot,2,78,"Mean Difference (IV, Fixed, 95% CI)","‐1.41 [‐2.41, ‐0.41]",Acupuncture treatments versus medical treatment,2,-1.41,-2.41,-0.41,4,,Prostatitis symptoms: quality of life subscore,
4.1 Acupuncture,1,54,"Mean Difference (IV, Fixed, 95% CI)","‐1.18 [‐2.52, 0.16]",Acupuncture treatments versus medical treatment,2,-1.18,-2.52,0.16,4,1,Prostatitis symptoms: quality of life subscore,Acupuncture
4.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐1.70 [‐3.19, ‐0.21]",Acupuncture treatments versus medical treatment,2,-1.7,-3.19,-0.21,4,2,Prostatitis symptoms: quality of life subscore,Electroacupuncture
5 Prostatitis symptoms Show forest plot,1,24,"Risk Ratio (M‐H, Fixed, 95% CI)","3.57 [1.45, 8.80]",Acupuncture treatments versus medical treatment,2,3.57,1.45,8.8,5,,Prostatitis symptoms,
5.1 Electroacupuncture,1,24,"Risk Ratio (M‐H, Fixed, 95% CI)","3.57 [1.45, 8.80]",Acupuncture treatments versus medical treatment,2,3.57,1.45,8.8,5,1,Prostatitis symptoms,Electroacupuncture
6 Adverse events Show forest plot,2,,"Risk Ratio (M‐H, Fixed, 95% CI)",Totals not selected,Acupuncture treatments versus medical treatment,2,,,,6,,Adverse events,
6.1 Acupuncture,1,,"Risk Ratio (M‐H, Fixed, 95% CI)","0.0 [0.0, 0.0]",Acupuncture treatments versus medical treatment,2,0.0,0.0,0.0,6,1,Adverse events,Acupuncture
6.2 Electroacupuncture,1,,"Risk Ratio (M‐H, Fixed, 95% CI)","0.0 [0.0, 0.0]",Acupuncture treatments versus medical treatment,2,0.0,0.0,0.0,6,2,Adverse events,Electroacupuncture
7 Urinary symptoms Show forest plot,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐2.7 [‐4.00, 0.60]",Acupuncture treatments versus medical treatment,2,-2.7,-4.0,0.6,7,,Urinary symptoms,
7.1 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐2.7 [‐4.00, 0.60]",Acupuncture treatments versus medical treatment,2,-2.7,-4.0,0.6,7,1,Urinary symptoms,Electroacupuncture
1 Prostatitis symptoms (NIH‐CPSI total) Show forest plot,1,83,"Mean Difference (IV, Fixed, 95% CI)","‐4.16 [‐7.16, ‐1.16]",Acupuncture with or without moxibustion,3,-4.16,-7.16,-1.16,1,,Prostatitis symptoms (NIH‐CPSI total),
1 Prostatitis symptoms Show forest plot,1,713,"Mean Difference (IV, Fixed, 95% CI)","‐3.0 [‐3.82, ‐2.18]",Circumcision versus waiting list,4,-3.0,-3.82,-2.18,1,,Prostatitis symptoms,
2 Prostatitis symptoms: pain subscore Show forest plot,1,713,"Mean Difference (IV, Fixed, 95% CI)","‐1.0 [‐1.33, ‐0.67]",Circumcision versus waiting list,4,-1.0,-1.33,-0.67,2,,Prostatitis symptoms: pain subscore,
3 Prostatitis symptoms: micturition subscore Show forest plot,1,713,"Mean Difference (IV, Fixed, 95% CI)","‐1.0 [‐1.22, ‐0.78]",Circumcision versus waiting list,4,-1.0,-1.22,-0.78,3,,Prostatitis symptoms: micturition subscore,
4 Prostatitis symptoms: quality of life subscore Show forest plot,1,713,"Mean Difference (IV, Fixed, 95% CI)","‐3.0 [‐3.38, ‐2.62]",Circumcision versus waiting list,4,-3.0,-3.38,-2.62,4,,Prostatitis symptoms: quality of life subscore,
5 Adverse events Show forest plot,1,713,"Risk Ratio (M‐H, Fixed, 95% CI)","1.23 [0.86, 1.76]",Circumcision versus waiting list,4,1.23,0.86,1.76,5,,Adverse events,
1 Prostatitis symptoms (NIH‐CPSI total) Show forest plot,2,57,"Mean Difference (IV, Fixed, 95% CI)","‐3.0 [‐7.75, 1.75]",Electromagnetic chair versus sham procedure,5,-3.0,-7.75,1.75,1,,Prostatitis symptoms (NIH‐CPSI total),
2 Prostatitis symptoms: pain subscore Show forest plot,2,57,"Std. Mean Difference (IV, Fixed, 95% CI)","‐0.44 [‐1.07, 0.19]",Electromagnetic chair versus sham procedure,5,-0.44,-1.07,0.19,2,,Prostatitis symptoms: pain subscore,
3 Prostatitis symptoms: micturition subscore Show forest plot,2,57,"Std. Mean Difference (IV, Fixed, 95% CI)","0.22 [‐0.40, 0.84]",Electromagnetic chair versus sham procedure,5,0.22,-0.4,0.84,3,,Prostatitis symptoms: micturition subscore,
4 Prostatitis symptoms: quality of life subscore Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Electromagnetic chair versus sham procedure,5,,,,4,,Prostatitis symptoms: quality of life subscore,
5 Adverse events Show forest plot,2,57,"Risk Ratio (M‐H, Fixed, 95% CI)","2.18 [0.10, 46.92]",Electromagnetic chair versus sham procedure,5,2.18,0.1,46.92,5,,Adverse events,
6 Urinary symptoms Show forest plot,1,40,"Mean Difference (IV, Fixed, 95% CI)","0.0 [‐4.13, 4.13]",Electromagnetic chair versus sham procedure,5,0.0,-4.13,4.13,6,,Urinary symptoms,
7 Prostatitis symptoms (NIH‐CPSI total) ‐ medium term Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Electromagnetic chair versus sham procedure,5,,,,7,,Prostatitis symptoms (NIH‐CPSI total) ‐ medium term,
8 Prostatitis symptoms: pain subscore ‐ medium term Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Electromagnetic chair versus sham procedure,5,,,,8,,Prostatitis symptoms: pain subscore ‐ medium term,
1 Prostatitis symptoms Show forest plot,1,100,"Risk Ratio (M‐H, Fixed, 95% CI)","3.9 [2.20, 6.92]",Lifestyle modifications versus control,6,3.9,2.2,6.92,1,,Prostatitis symptoms,
1 Prostatitis symptoms Show forest plot,1,85,"Mean Difference (IV, Fixed, 95% CI)","‐2.50 [‐4.69, ‐0.31]",Physical activity versus control,7,-2.5,-4.69,-0.31,1,,Prostatitis symptoms,
2 Prostatitis symptoms: pain subscore Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Physical activity versus control,7,,,,2,,Prostatitis symptoms: pain subscore,
3 Prostatitis symptoms: micturition subscore Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Physical activity versus control,7,,,,3,,Prostatitis symptoms: micturition subscore,
4 Prostatitis symptoms: quality of life subscore Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Physical activity versus control,7,,,,4,,Prostatitis symptoms: quality of life subscore,
5 Anxiety Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Physical activity versus control,7,,,,5,,Anxiety,
6 Depression Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Physical activity versus control,7,,,,6,,Depression,
1 Prostatitis symptoms Show forest plot,1,44,"Mean Difference (IV, Fixed, 95% CI)","‐1.10 [‐5.63, 3.43]",Prostatic massage versus control,8,-1.1,-5.63,3.43,1,,Prostatitis symptoms,
2 Prostatitis symptoms: pain subscore Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Prostatic massage versus control,8,,,,2,,Prostatitis symptoms: pain subscore,
3 Prostatitis symptoms: micturition subscore Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Prostatic massage versus control,8,,,,3,,Prostatitis symptoms: micturition subscore,
4 Prostatitis symptoms: quality of life subscore Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Prostatic massage versus control,8,,,,4,,Prostatitis symptoms: quality of life subscore,
1 Prostatitis symptoms (NIH‐CPSI total) Show forest plot,3,157,"Mean Difference (IV, Random, 95% CI)","‐6.18 [‐7.46, ‐4.89]",Extracorporeal shockwave therapy (ESWT) versus control,9,-6.18,-7.46,-4.89,1,,Prostatitis symptoms (NIH‐CPSI total),
1.1 Compared to sham procedure,2,97,"Mean Difference (IV, Random, 95% CI)","‐6.14 [‐7.87, ‐4.41]",Extracorporeal shockwave therapy (ESWT) versus control,9,-6.14,-7.87,-4.41,1,1,Prostatitis symptoms (NIH‐CPSI total),Compared to sham procedure
1.2 Compared to no intervention,1,60,"Mean Difference (IV, Random, 95% CI)","‐6.64 [‐10.17, ‐3.11]",Extracorporeal shockwave therapy (ESWT) versus control,9,-6.64,-10.17,-3.11,1,2,Prostatitis symptoms (NIH‐CPSI total),Compared to no intervention
2 Prostatitis symptoms: pain subscore Show forest plot,2,97,"Mean Difference (IV, Random, 95% CI)","‐4.64 [‐5.38, ‐3.89]",Extracorporeal shockwave therapy (ESWT) versus control,9,-4.64,-5.38,-3.89,2,,Prostatitis symptoms: pain subscore,
2.1 Compared to sham procedure,1,37,"Mean Difference (IV, Random, 95% CI)","‐4.74 [‐5.54, ‐3.94]",Extracorporeal shockwave therapy (ESWT) versus control,9,-4.74,-5.54,-3.94,2,1,Prostatitis symptoms: pain subscore,Compared to sham procedure
2.2 Compared to no intervention,1,60,"Mean Difference (IV, Random, 95% CI)","‐3.83 [‐6.03, ‐1.63]",Extracorporeal shockwave therapy (ESWT) versus control,9,-3.83,-6.03,-1.63,2,2,Prostatitis symptoms: pain subscore,Compared to no intervention
3 Prostatitis symptoms: micturition subscore Show forest plot,2,97,"Mean Difference (IV, Fixed, 95% CI)","‐0.53 [1.00, ‐0.07]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.53,1.0,-0.07,3,,Prostatitis symptoms: micturition subscore,
3.1 Compared to sham procedure,1,37,"Mean Difference (IV, Fixed, 95% CI)","‐1.79 [‐2.59, ‐0.99]",Extracorporeal shockwave therapy (ESWT) versus control,9,-1.79,-2.59,-0.99,3,1,Prostatitis symptoms: micturition subscore,Compared to sham procedure
3.2 Compared to no intervention,1,60,"Mean Difference (IV, Fixed, 95% CI)","0.10 [‐0.47, 0.67]",Extracorporeal shockwave therapy (ESWT) versus control,9,0.1,-0.47,0.67,3,2,Prostatitis symptoms: micturition subscore,Compared to no intervention
4 Prostatitis symptoms: quality of life subscore Show forest plot,2,97,"Mean Difference (IV, Random, 95% CI)","‐1.84 [‐2.41, ‐1.27]",Extracorporeal shockwave therapy (ESWT) versus control,9,-1.84,-2.41,-1.27,4,,Prostatitis symptoms: quality of life subscore,
4.1 Compared to sham procedure,1,37,"Mean Difference (IV, Random, 95% CI)","‐1.73 [‐2.35, ‐1.11]",Extracorporeal shockwave therapy (ESWT) versus control,9,-1.73,-2.35,-1.11,4,1,Prostatitis symptoms: quality of life subscore,Compared to sham procedure
4.2 Compared to no intervention,1,60,"Mean Difference (IV, Random, 95% CI)","‐2.46 [‐3.94, ‐0.98]",Extracorporeal shockwave therapy (ESWT) versus control,9,-2.46,-3.94,-0.98,4,2,Prostatitis symptoms: quality of life subscore,Compared to no intervention
5 Prostatitis symptoms Show forest plot,2,135,"Risk Ratio (M‐H, Random, 95% CI)","6.20 [0.48, 79.79]",Extracorporeal shockwave therapy (ESWT) versus control,9,6.2,0.48,79.79,5,,Prostatitis symptoms,
6 Prostatitis symptoms (total score) ‐ long term Show forest plot,2,97,"Mean Difference (IV, Random, 95% CI)","‐2.23 [‐5.98, 1.53]",Extracorporeal shockwave therapy (ESWT) versus control,9,-2.23,-5.98,1.53,6,,Prostatitis symptoms (total score) ‐ long term,
6.1 Compared to sham procedure,1,37,"Mean Difference (IV, Random, 95% CI)","‐0.59 [‐1.42, 0.24]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.59,-1.42,0.24,6,1,Prostatitis symptoms (total score) ‐ long term,Compared to sham procedure
6.2 Compared to no intervention,1,60,"Mean Difference (IV, Random, 95% CI)","‐4.47 [‐7.60, ‐1.34]",Extracorporeal shockwave therapy (ESWT) versus control,9,-4.47,-7.6,-1.34,6,2,Prostatitis symptoms (total score) ‐ long term,Compared to no intervention
7 Prostatitis symptoms: pain subscore ‐ long term Show forest plot,2,97,"Mean Difference (IV, Random, 95% CI)","‐2.08 [‐6.25, 2.09]",Extracorporeal shockwave therapy (ESWT) versus control,9,-2.08,-6.25,2.09,7,,Prostatitis symptoms: pain subscore ‐ long term,
7.1 Compared to sham procedure,1,37,"Mean Difference (IV, Random, 95% CI)","‐0.01 [‐1.26, 1.24]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.01,-1.26,1.24,7,1,Prostatitis symptoms: pain subscore ‐ long term,Compared to sham procedure
7.2 Compared to no intervention,1,60,"Mean Difference (IV, Random, 95% CI)","‐4.27 [‐6.15, ‐2.39]",Extracorporeal shockwave therapy (ESWT) versus control,9,-4.27,-6.15,-2.39,7,2,Prostatitis symptoms: pain subscore ‐ long term,Compared to no intervention
8 Prostatitis symptoms: micturition subscore ‐ long term Show forest plot,2,97,"Mean Difference (IV, Random, 95% CI)","‐0.64 [‐1.19, ‐0.10]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.64,-1.19,-0.1,8,,Prostatitis symptoms: micturition subscore ‐ long term,
8.1 Compared to sham procedure,1,37,"Mean Difference (IV, Random, 95% CI)","‐0.35 [‐1.50, 0.80]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.35,-1.5,0.8,8,1,Prostatitis symptoms: micturition subscore ‐ long term,Compared to sham procedure
8.2 Compared to no intervention,1,60,"Mean Difference (IV, Random, 95% CI)","‐0.73 [‐1.35, ‐0.11]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.73,-1.35,-0.11,8,2,Prostatitis symptoms: micturition subscore ‐ long term,Compared to no intervention
9 Prostatitis symptoms: quality of life subscore ‐ long term Show forest plot,2,97,"Mean Difference (IV, Random, 95% CI)","‐0.97 [‐2.78, 0.85]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.97,-2.78,0.85,9,,Prostatitis symptoms: quality of life subscore ‐ long term,
9.1 Compared to sham procedure,1,37,"Mean Difference (IV, Random, 95% CI)","‐0.16 [‐0.98, 0.66]",Extracorporeal shockwave therapy (ESWT) versus control,9,-0.16,-0.98,0.66,9,1,Prostatitis symptoms: quality of life subscore ‐ long term,Compared to sham procedure
9.2 Compared to no intervention,1,60,"Mean Difference (IV, Random, 95% CI)","‐2.03 [‐3.62, ‐0.44]",Extracorporeal shockwave therapy (ESWT) versus control,9,-2.03,-3.62,-0.44,9,2,Prostatitis symptoms: quality of life subscore ‐ long term,Compared to no intervention
10 Adverse events Show forest plot,3,195,"Risk Ratio (M‐H, Fixed, 95% CI)","1.22 [0.59, 2.51]",Extracorporeal shockwave therapy (ESWT) versus control,9,1.22,0.59,2.51,10,,Adverse events,
11 Sexual dysfunction Show forest plot,1,60,"Mean Difference (IV, Fixed, 95% CI)","3.34 [2.68, 4.00]",Extracorporeal shockwave therapy (ESWT) versus control,9,3.34,2.68,4.0,11,,Sexual dysfunction,
12 Urinary symptoms Show forest plot,1,60,"Mean Difference (IV, Fixed, 95% CI)","‐4.50 [‐5.14, ‐3.86]",Extracorporeal shockwave therapy (ESWT) versus control,9,-4.5,-5.14,-3.86,12,,Urinary symptoms,
1 Prostatitis symptoms (NIH‐CPSI total) Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Transrectal thermotherapy (TRT) versus medical treatment,10,,,,1,,Prostatitis symptoms (NIH‐CPSI total),
1.1 Compared to medical therapy,2,140,"Mean Difference (IV, Fixed, 95% CI)","‐2.50 [‐3.82, ‐1.18]",Transrectal thermotherapy (TRT) versus medical treatment,10,-2.5,-3.82,-1.18,1,1,Prostatitis symptoms (NIH‐CPSI total),Compared to medical therapy
1.2 Add‐on to medical therapy vs medical therapy alone,2,145,"Mean Difference (IV, Fixed, 95% CI)","‐4.34 [‐5.65, ‐3.04]",Transrectal thermotherapy (TRT) versus medical treatment,10,-4.34,-5.65,-3.04,1,2,Prostatitis symptoms (NIH‐CPSI total),Add‐on to medical therapy vs medical therapy alone
2 Prostatitis symptoms: pain subscore Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Transrectal thermotherapy (TRT) versus medical treatment,10,,,,2,,Prostatitis symptoms: pain subscore,
2.1 Compared to medical therapy,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Transrectal thermotherapy (TRT) versus medical treatment,10,0.0,0.0,0.0,2,1,Prostatitis symptoms: pain subscore,Compared to medical therapy
2.2 Add‐on to medical therapy vs medical therapy alone,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Transrectal thermotherapy (TRT) versus medical treatment,10,0.0,0.0,0.0,2,2,Prostatitis symptoms: pain subscore,Add‐on to medical therapy vs medical therapy alone
3 Prostatitis symptoms: micturition subscore Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Transrectal thermotherapy (TRT) versus medical treatment,10,,,,3,,Prostatitis symptoms: micturition subscore,
3.1 Compared to medical therapy,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Transrectal thermotherapy (TRT) versus medical treatment,10,0.0,0.0,0.0,3,1,Prostatitis symptoms: micturition subscore,Compared to medical therapy
3.2 Add‐on to medical therapy vs medical therapy alone,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Transrectal thermotherapy (TRT) versus medical treatment,10,0.0,0.0,0.0,3,2,Prostatitis symptoms: micturition subscore,Add‐on to medical therapy vs medical therapy alone
4 Prostatitis symptoms: quality of life subscore Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Transrectal thermotherapy (TRT) versus medical treatment,10,,,,4,,Prostatitis symptoms: quality of life subscore,
4.1 Compared to medical therapy,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Transrectal thermotherapy (TRT) versus medical treatment,10,0.0,0.0,0.0,4,1,Prostatitis symptoms: quality of life subscore,Compared to medical therapy
4.2 Add‐on to medical therapy vs medical therapy alone,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Transrectal thermotherapy (TRT) versus medical treatment,10,0.0,0.0,0.0,4,2,Prostatitis symptoms: quality of life subscore,Add‐on to medical therapy vs medical therapy alone
1 Prostatitis symptoms (NIH‐CPSI total) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Biofeedback with or without electrical stimulation versus usual care,11,,,,1,,Prostatitis symptoms (NIH‐CPSI total),
1.1 Biofeedback + electrical stimulation vs usual care,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Biofeedback with or without electrical stimulation versus usual care,11,0.0,0.0,0.0,1,1,Prostatitis symptoms (NIH‐CPSI total),Biofeedback + electrical stimulation vs usual care
