Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Age group 15‐26 years,6,36579,"Risk Ratio (IV, Random, 95% CI)","0.07 [0.03, 0.15]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.07,0.03,0.15,1,1,"CIN2+ associated with HPV16/(18), 3 doses",Age group 15‐26 years
1.2 Age group 24‐45 years,2,6797,"Risk Ratio (IV, Random, 95% CI)","0.16 [0.04, 0.74]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.16,0.04,0.74,1,2,"CIN2+ associated with HPV16/(18), 3 doses",Age group 24‐45 years
"2 CIN2+ associated with HPV16/(18), at least 1 dose Show forest plot",8,42030,"Risk Ratio (IV, Random, 95% CI)","0.10 [0.05, 0.20]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.1,0.05,0.2,2,,"CIN2+ associated with HPV16/(18), at least 1 dose",
2.1 Age group 15‐26 years,6,34478,"Risk Ratio (IV, Random, 95% CI)","0.05 [0.03, 0.10]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.05,0.03,0.1,2,1,"CIN2+ associated with HPV16/(18), at least 1 dose",Age group 15‐26 years
2.2 Age group 24‐45 years,2,7552,"Risk Ratio (IV, Random, 95% CI)","0.30 [0.11, 0.81]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.3,0.11,0.81,2,2,"CIN2+ associated with HPV16/(18), at least 1 dose",Age group 24‐45 years
"3 CIN2+ associated with HPV16/(18), 1 or 2 doses (post hoc analysis) Show forest plot",7,3713,"Risk Ratio (IV, Random, 95% CI)","0.19 [0.07, 0.51]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.19,0.07,0.51,3,,"CIN2+ associated with HPV16/(18), 1 or 2 doses (post hoc analysis)",
3.1 women age 15‐26 years,5,2958,"Risk Ratio (IV, Random, 95% CI)","0.10 [0.04, 0.26]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.1,0.04,0.26,3,1,"CIN2+ associated with HPV16/(18), 1 or 2 doses (post hoc analysis)",women age 15‐26 years
3.2 women age 24‐45 years,2,755,"Risk Ratio (IV, Random, 95% CI)","0.61 [0.14, 2.67]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.61,0.14,2.67,3,2,"CIN2+ associated with HPV16/(18), 1 or 2 doses (post hoc analysis)",women age 24‐45 years
"4 CIN2+ associated with HPV6/11/16/18, 3 doses Show forest plot",2,7664,"Risk Ratio (IV, Random, 95% CI)","0.06 [0.01, 0.61]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.06,0.01,0.61,4,,"CIN2+ associated with HPV6/11/16/18, 3 doses",
4.1 Age group 15‐26 years,1,4499,"Risk Ratio (IV, Random, 95% CI)","0.02 [0.00, 0.25]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.02,0.0,0.25,4,1,"CIN2+ associated with HPV6/11/16/18, 3 doses",Age group 15‐26 years
4.2 Age group 24‐45 years,1,3165,"Risk Ratio (IV, Random, 95% CI)","0.17 [0.02, 1.39]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.17,0.02,1.39,4,2,"CIN2+ associated with HPV6/11/16/18, 3 doses",Age group 24‐45 years
"5 CIN2+ associated with HPV6/11/16/18, at least 1 dose Show forest plot",2,8980,"Risk Ratio (IV, Random, 95% CI)","0.08 [0.00, 2.41]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.08,0.0,2.41,5,,"CIN2+ associated with HPV6/11/16/18, at least 1 dose",
5.1 Age group 15‐26 years,1,5351,"Risk Ratio (IV, Random, 95% CI)","0.01 [0.00, 0.19]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.01,0.0,0.19,5,1,"CIN2+ associated with HPV6/11/16/18, at least 1 dose",Age group 15‐26 years
5.2 Age group 24‐45 years,1,3629,"Risk Ratio (IV, Random, 95% CI)","0.37 [0.10, 1.41]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.37,0.1,1.41,5,2,"CIN2+ associated with HPV6/11/16/18, at least 1 dose",Age group 24‐45 years
"6 CIN2+ associated with HPV6/11/16/18, 1 or 2 doses (post hoc analysis) Show forest plot",2,1316,"Risk Ratio (IV, Random, 95% CI)","0.24 [0.01, 5.00]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.24,0.01,5.0,6,,"CIN2+ associated with HPV6/11/16/18, 1 or 2 doses (post hoc analysis)",
6.1 Age group 15‐26 years,1,852,"Risk Ratio (IV, Random, 95% CI)","0.04 [0.00, 0.74]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.04,0.0,0.74,6,1,"CIN2+ associated with HPV6/11/16/18, 1 or 2 doses (post hoc analysis)",Age group 15‐26 years
6.2 Age group 24‐45 years,1,464,"Risk Ratio (IV, Random, 95% CI)","0.97 [0.14, 6.80]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.97,0.14,6.8,6,2,"CIN2+ associated with HPV6/11/16/18, 1 or 2 doses (post hoc analysis)",Age group 24‐45 years
"7 CIN3+ associated with HPV16/18 or HPV6/11/16/18, 3 doses Show forest plot",3,29720,"Risk Ratio (IV, Random, 95% CI)","0.07 [0.02, 0.29]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.07,0.02,0.29,7,,"CIN3+ associated with HPV16/18 or HPV6/11/16/18, 3 doses",
"8 CIN3+ associated with HPV 16/18 or HPV6/11/16/18, at least 1 dose Show forest plot",3,33199,"Risk Ratio (IV, Random, 95% CI)","0.05 [0.02, 0.14]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.05,0.02,0.14,8,,"CIN3+ associated with HPV 16/18 or HPV6/11/16/18, at least 1 dose",
"9 CIN3+ associated with HPV16/18 or HPV6/11/16/18, 1 or 2 doses (post hoc analysis) Show forest plot",3,3479,"Risk Ratio (IV, Random, 95% CI)","0.06 [0.01, 0.24]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.06,0.01,0.24,9,,"CIN3+ associated with HPV16/18 or HPV6/11/16/18, 1 or 2 doses (post hoc analysis)",
"10 AIS associated with HPV16/18 or HPV6/11/16/18, 3 doses Show forest plot",3,29707,"Risk Ratio (IV, Random, 95% CI)","0.12 [0.02, 0.70]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.12,0.02,0.7,10,,"AIS associated with HPV16/18 or HPV6/11/16/18, 3 doses",
"11 AIS associated with HPV16/18 or 6/11/16/18, at least 1 dose Show forest plot",2,17079,"Risk Ratio (IV, Random, 95% CI)","0.09 [0.01, 0.72]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.09,0.01,0.72,11,,"AIS associated with HPV16/18 or 6/11/16/18, at least 1 dose",
"12 AIS associated with HPV16/18 or HPV6/11/16/18, 1 or 2 doses (post hoc analysis) Show forest plot",2,2015,"Risk Ratio (IV, Random, 95% CI)","0.15 [0.01, 2.97]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.15,0.01,2.97,12,,"AIS associated with HPV16/18 or HPV6/11/16/18, 1 or 2 doses (post hoc analysis)",
"13 Any CIN2+ irrespective of HPV types, 3 doses Show forest plot",3,7320,"Risk Ratio (IV, Random, 95% CI)","0.40 [0.25, 0.64]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.4,0.25,0.64,13,,"Any CIN2+ irrespective of HPV types, 3 doses",
"14 Any CIN2+ irrespective of HPV types, at least 1 dose Show forest plot",3,19143,"Risk Ratio (IV, Random, 95% CI)","0.41 [0.32, 0.52]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.41,0.32,0.52,14,,"Any CIN2+ irrespective of HPV types, at least 1 dose",
"15 Any CIN2+ irrespective of HPV types, 1 or 2 doses (post hoc analysis) Show forest plot",1,34,"Risk Ratio (IV, Random, 95% CI)","0.71 [0.15, 3.38]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.71,0.15,3.38,15,,"Any CIN2+ irrespective of HPV types, 1 or 2 doses (post hoc analysis)",
"1 CIN2+ associated with HPV16/18, at least 1 dose Show forest plot",5,44052,"Risk Ratio (IV, Random, 95% CI)","0.52 [0.41, 0.67]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.52,0.41,0.67,1,,"CIN2+ associated with HPV16/18, at least 1 dose",
1.1 Age group 15‐26 years,3,34852,"Risk Ratio (IV, Random, 95% CI)","0.46 [0.37, 0.57]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.46,0.37,0.57,1,1,"CIN2+ associated with HPV16/18, at least 1 dose",Age group 15‐26 years
1.2 Age group 24‐45 years,2,9200,"Risk Ratio (IV, Random, 95% CI)","0.74 [0.52, 1.05]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.74,0.52,1.05,1,2,"CIN2+ associated with HPV16/18, at least 1 dose",Age group 24‐45 years
"2 CIN2+ associated with HPV6/11/16/18, at least 1 dose Show forest plot",2,20883,"Risk Ratio (IV, Random, 95% CI)","0.57 [0.38, 0.86]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.57,0.38,0.86,2,,"CIN2+ associated with HPV6/11/16/18, at least 1 dose",
2.1 Age group 15‐26 years,1,17160,"Risk Ratio (IV, Random, 95% CI)","0.50 [0.42, 0.59]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.5,0.42,0.59,2,1,"CIN2+ associated with HPV6/11/16/18, at least 1 dose",Age group 15‐26 years
2.2 Age group 24‐45 years,1,3723,"Risk Ratio (IV, Random, 95% CI)","0.78 [0.44, 1.37]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.78,0.44,1.37,2,2,"CIN2+ associated with HPV6/11/16/18, at least 1 dose",Age group 24‐45 years
"3 CIN3+ associated with HPV16/18, at least 1 dose Show forest plot",2,34562,"Risk Ratio (IV, Random, 95% CI)","0.55 [0.45, 0.67]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.55,0.45,0.67,3,,"CIN3+ associated with HPV16/18, at least 1 dose",
"4 CIN3+ associated with HPV6/11/16/18, at least 1 dose Show forest plot",1,17160,"Risk Ratio (IV, Random, 95% CI)","0.54 [0.43, 0.68]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.54,0.43,0.68,4,,"CIN3+ associated with HPV6/11/16/18, at least 1 dose",
"5 AIS associated with HPV16/18, at least 1 dose Show forest plot",2,34562,"Risk Ratio (IV, Random, 95% CI)","0.36 [0.17, 0.78]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.36,0.17,0.78,5,,"AIS associated with HPV16/18, at least 1 dose",
"6 AIS associated with HPV6/11/16/18, at least 1 dose Show forest plot",2,20830,"Risk Ratio (IV, Random, 95% CI)","0.40 [0.16, 0.98]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.4,0.16,0.98,6,,"AIS associated with HPV6/11/16/18, at least 1 dose",
"7 Any CIN2+ irrespective of HPV types, at least 1 dose Show forest plot",6,45066,"Risk Ratio (IV, Random, 95% CI)","0.79 [0.65, 0.97]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.79,0.65,0.97,7,,"Any CIN2+ irrespective of HPV types, at least 1 dose",
7.1 Age group 15‐26 years,4,35779,"Risk Ratio (IV, Random, 95% CI)","0.70 [0.58, 0.85]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.7,0.58,0.85,7,1,"Any CIN2+ irrespective of HPV types, at least 1 dose",Age group 15‐26 years
7.2 Age group 24‐45 years,2,9287,"Risk Ratio (IV, Random, 95% CI)","1.04 [0.83, 1.30]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,1.04,0.83,1.3,7,2,"Any CIN2+ irrespective of HPV types, at least 1 dose",Age group 24‐45 years
"8 Any CIN3+ HPV type, at least 1 dose Show forest plot",3,35489,"Risk Ratio (IV, Random, 95% CI)","0.67 [0.49, 0.93]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.67,0.49,0.93,8,,"Any CIN3+ HPV type, at least 1 dose",
8.1 Bivalent vaccine,2,18329,"Risk Ratio (IV, Random, 95% CI)","0.55 [0.43, 0.71]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.55,0.43,0.71,8,1,"Any CIN3+ HPV type, at least 1 dose",Bivalent vaccine
8.2 Quadrivalent vaccine,1,17160,"Risk Ratio (IV, Random, 95% CI)","0.81 [0.69, 0.96]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.81,0.69,0.96,8,2,"Any CIN3+ HPV type, at least 1 dose",Quadrivalent vaccine
"9 Any AIS irrespective of HPV types, at least 1 dose Show forest plot",2,34562,"Risk Ratio (IV, Random, 95% CI)","0.32 [0.15, 0.67]",High‐grade cervical lesions in women regardless of baseline HPV DNA status,3,0.32,0.15,0.67,9,,"Any AIS irrespective of HPV types, at least 1 dose",
"1 Incident HPV16/18 infection, 3 doses Show forest plot",1,368,"Risk Ratio (IV, Random, 95% CI)","0.06 [0.02, 0.20]",Infection with HPV vaccine types in hrHPV DNA negative women at baseline,4,0.06,0.02,0.2,1,,"Incident HPV16/18 infection, 3 doses",
"2 Persistent HPV16/18 infection (6M), 3 doses Show forest plot",1,368,"Risk Ratio (IV, Random, 95% CI)","0.02 [0.00, 0.35]",Infection with HPV vaccine types in hrHPV DNA negative women at baseline,4,0.02,0.0,0.35,2,,"Persistent HPV16/18 infection (6M), 3 doses",
"3 Persistent HPV16/18 infection (6M), at least 1 dose Show forest plot",1,10826,"Risk Ratio (IV, Random, 95% CI)","0.07 [0.05, 0.09]",Infection with HPV vaccine types in hrHPV DNA negative women at baseline,4,0.07,0.05,0.09,3,,"Persistent HPV16/18 infection (6M), at least 1 dose",
"4 Persistent HPV16/18 infection(12M), 3 doses Show forest plot",1,368,"Risk Ratio (IV, Random, 95% CI)","0.04 [0.00, 0.73]",Infection with HPV vaccine types in hrHPV DNA negative women at baseline,4,0.04,0.0,0.73,4,,"Persistent HPV16/18 infection(12M), 3 doses",
"5 Persistent HPV16/18 infection (12M), at least 1 dose Show forest plot",2,14153,"Risk Ratio (IV, Random, 95% CI)","0.08 [0.05, 0.12]",Infection with HPV vaccine types in hrHPV DNA negative women at baseline,4,0.08,0.05,0.12,5,,"Persistent HPV16/18 infection (12M), at least 1 dose",
"1 Incident HPV16/18 infection, 3 doses Show forest plot",4,8034,"Risk Ratio (IV, Random, 95% CI)","0.17 [0.10, 0.31]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.17,0.1,0.31,1,,"Incident HPV16/18 infection, 3 doses",
"2 Incident HPV16/18 infection, at least 1 dose Show forest plot",5,23872,"Risk Ratio (IV, Random, 95% CI)","0.23 [0.14, 0.37]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.23,0.14,0.37,2,,"Incident HPV16/18 infection, at least 1 dose",
"3 Incident HPV16/18 infection, 1 or 2 doses (post hoc analysis) Show forest plot",3,331,"Risk Ratio (IV, Random, 95% CI)","0.47 [0.26, 0.84]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.47,0.26,0.84,3,,"Incident HPV16/18 infection, 1 or 2 doses (post hoc analysis)",
"4 Persistent HPV16/18 infection (6M), 3 doses Show forest plot",8,34113,"Risk Ratio (IV, Random, 95% CI)","0.07 [0.06, 0.09]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.07,0.06,0.09,4,,"Persistent HPV16/18 infection (6M), 3 doses",
4.1 Age group 15‐26 years,6,27385,"Risk Ratio (IV, Random, 95% CI)","0.06 [0.05, 0.08]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.06,0.05,0.08,4,1,"Persistent HPV16/18 infection (6M), 3 doses",Age group 15‐26 years
4.2 Age group 24‐45 years,2,6728,"Risk Ratio (IV, Random, 95% CI)","0.11 [0.06, 0.20]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.11,0.06,0.2,4,2,"Persistent HPV16/18 infection (6M), 3 doses",Age group 24‐45 years
"5 Persistent HPV16/18 infection (6M), at least 1 dose Show forest plot",6,30323,"Risk Ratio (IV, Random, 95% CI)","0.12 [0.08, 0.17]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.12,0.08,0.17,5,,"Persistent HPV16/18 infection (6M), at least 1 dose",
5.1 Age group 15‐26 years,4,22803,"Risk Ratio (IV, Random, 95% CI)","0.10 [0.08, 0.12]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.1,0.08,0.12,5,1,"Persistent HPV16/18 infection (6M), at least 1 dose",Age group 15‐26 years
5.2 Age group 24‐45 years,2,7520,"Risk Ratio (IV, Random, 95% CI)","0.17 [0.10, 0.29]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.17,0.1,0.29,5,2,"Persistent HPV16/18 infection (6M), at least 1 dose",Age group 24‐45 years
"6 Persistent HPV16/18 infection (6M), 1 or 2 doses (post hoc analysis) Show forest plot",4,1229,"Risk Ratio (IV, Random, 95% CI)","0.26 [0.16, 0.44]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.26,0.16,0.44,6,,"Persistent HPV16/18 infection (6M), 1 or 2 doses (post hoc analysis)",
6.1 Age group 15‐26 years,2,437,"Risk Ratio (IV, Random, 95% CI)","0.12 [0.03, 0.42]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.12,0.03,0.42,6,1,"Persistent HPV16/18 infection (6M), 1 or 2 doses (post hoc analysis)",Age group 15‐26 years
6.2 Age group 24‐45 years,2,792,"Risk Ratio (IV, Random, 95% CI)","0.31 [0.18, 0.54]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.31,0.18,0.54,6,2,"Persistent HPV16/18 infection (6M), 1 or 2 doses (post hoc analysis)",Age group 24‐45 years
"7 Persistent HPV6/11/16/18 infection (6M), 3 doses Show forest plot",2,4008,"Risk Ratio (IV, Random, 95% CI)","0.12 [0.06, 0.21]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.12,0.06,0.21,7,,"Persistent HPV6/11/16/18 infection (6M), 3 doses",
"8 Persistent HPV6/11/16/18 infection (6M), at least 1 dose Show forest plot",2,4129,"Risk Ratio (IV, Random, 95% CI)","0.13 [0.05, 0.37]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.13,0.05,0.37,8,,"Persistent HPV6/11/16/18 infection (6M), at least 1 dose",
"9 Persistent HPV16/18 infection (12M), 3 doses Show forest plot",4,22267,"Risk Ratio (IV, Random, 95% CI)","0.09 [0.06, 0.13]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.09,0.06,0.13,9,,"Persistent HPV16/18 infection (12M), 3 doses",
"10 Persistent HPV16/18 infection (12M), at least 1 dose Show forest plot",5,29464,"Risk Ratio (IV, Random, 95% CI)","0.16 [0.12, 0.20]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.16,0.12,0.2,10,,"Persistent HPV16/18 infection (12M), at least 1 dose",
"11 Persistent HPV16/18 infection (12M), 1 or 2 doses (post hoc analysis) Show forest plot",3,3912,"Risk Ratio (IV, Random, 95% CI)","0.13 [0.06, 0.33]",HPV16/18 infection in HPV16/18 DNA negative women at baseline,5,0.13,0.06,0.33,11,,"Persistent HPV16/18 infection (12M), 1 or 2 doses (post hoc analysis)",
"1 Incident HPV16/18 infection, at least 1 dose Show forest plot",1,4210,"Risk Ratio (IV, Random, 95% CI)","0.24 [0.17, 0.33]",Infection with HPV types included in the vaccine in women regardless of HPV DNA status at baseline,6,0.24,0.17,0.33,1,,"Incident HPV16/18 infection, at least 1 dose",
"2 Persistent HPV16/18 infection (6M), at least 1 dose Show forest plot",4,33847,"Risk Ratio (IV, Random, 95% CI)","0.48 [0.41, 0.57]",Infection with HPV types included in the vaccine in women regardless of HPV DNA status at baseline,6,0.48,0.41,0.57,2,,"Persistent HPV16/18 infection (6M), at least 1 dose",
2.1 Age group 15‐26 years,2,25199,"Risk Ratio (IV, Random, 95% CI)","0.44 [0.38, 0.51]",Infection with HPV types included in the vaccine in women regardless of HPV DNA status at baseline,6,0.44,0.38,0.51,2,1,"Persistent HPV16/18 infection (6M), at least 1 dose",Age group 15‐26 years
2.2 Age group 24‐45 years,2,8648,"Risk Ratio (IV, Random, 95% CI)","0.57 [0.47, 0.69]",Infection with HPV types included in the vaccine in women regardless of HPV DNA status at baseline,6,0.57,0.47,0.69,2,2,"Persistent HPV16/18 infection (6M), at least 1 dose",Age group 24‐45 years
"3 Persistent HPV6/11/16/18 infection (6M), at least 1 dose Show forest plot",1,3713,"Risk Ratio (IV, Random, 95% CI)","0.52 [0.42, 0.65]",Infection with HPV types included in the vaccine in women regardless of HPV DNA status at baseline,6,0.52,0.42,0.65,3,,"Persistent HPV6/11/16/18 infection (6M), at least 1 dose",
"4 Persistent HPV16/18 infection (12M), at least 1 dose Show forest plot",2,24785,"Risk Ratio (IV, Random, 95% CI)","0.46 [0.40, 0.54]",Infection with HPV types included in the vaccine in women regardless of HPV DNA status at baseline,6,0.46,0.4,0.54,4,,"Persistent HPV16/18 infection (12M), at least 1 dose",
5 Persistent HPV16/18 infection (12M) by dose (post hoc analysis) Show forest plot,1,7153,"Risk Ratio (IV, Random, 95% CI)","0.18 [0.12, 0.27]",Infection with HPV types included in the vaccine in women regardless of HPV DNA status at baseline,6,0.18,0.12,0.27,5,,Persistent HPV16/18 infection (12M) by dose (post hoc analysis),
1 Overall local/injection site adverse events Show forest plot,8,18113,"Risk Ratio (IV, Fixed, 95% CI)","1.18 [1.16, 1.20]",Adverse events,7,1.18,1.16,1.2,1,,Overall local/injection site adverse events,
1.1 Bivalent vaccine,2,6503,"Risk Ratio (IV, Fixed, 95% CI)","1.29 [1.26, 1.33]",Adverse events,7,1.29,1.26,1.33,1,1,Overall local/injection site adverse events,Bivalent vaccine
1.2 Quadrivalent vaccine,6,11610,"Risk Ratio (IV, Fixed, 95% CI)","1.14 [1.12, 1.16]",Adverse events,7,1.14,1.12,1.16,1,2,Overall local/injection site adverse events,Quadrivalent vaccine
2 Pain at injection site Show forest plot,13,25691,"Risk Ratio (IV, Random, 95% CI)","1.35 [1.23, 1.49]",Adverse events,7,1.35,1.23,1.49,2,,Pain at injection site,
2.1 Monovalent vaccine,1,2280,"Risk Ratio (IV, Random, 95% CI)","1.05 [1.01, 1.09]",Adverse events,7,1.05,1.01,1.09,2,1,Pain at injection site,Monovalent vaccine
2.2 Bivalent vaccine,8,16897,"Risk Ratio (IV, Random, 95% CI)","1.49 [1.26, 1.75]",Adverse events,7,1.49,1.26,1.75,2,2,Pain at injection site,Bivalent vaccine
2.3 Quadrivalent vaccine,4,6514,"Risk Ratio (IV, Random, 95% CI)","1.13 [1.07, 1.19]",Adverse events,7,1.13,1.07,1.19,2,3,Pain at injection site,Quadrivalent vaccine
3 Swelling at injection site Show forest plot,9,22106,"Risk Ratio (IV, Random, 95% CI)","1.73 [1.32, 2.27]",Adverse events,7,1.73,1.32,2.27,3,,Swelling at injection site,
3.1 Bivalent vaccine,7,16603,"Risk Ratio (IV, Random, 95% CI)","1.62 [1.15, 2.29]",Adverse events,7,1.62,1.15,2.29,3,1,Swelling at injection site,Bivalent vaccine
