Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
4 Major bleeding (up to 3 months) Show forest plot,2,1026,"Risk Ratio (M‐H, Random, 95% CI)","7.14 [0.88, 57.78]",Vitamin K antagonist (VKA) versus no VKA,2,7.14,0.88,57.78,4,,Major bleeding (up to 3 months),
5 Minor bleeding (up to 3 months) Show forest plot,2,1026,"Risk Ratio (M‐H, Random, 95% CI)","0.69 [0.38, 1.26]",Vitamin K antagonist (VKA) versus no VKA,2,0.69,0.38,1.26,5,,Minor bleeding (up to 3 months),
6 Catheter‐related infection Show forest plot,1,88,"Risk Ratio (M‐H, Random, 95% CI)","1.17 [0.74, 1.85]",Vitamin K antagonist (VKA) versus no VKA,2,1.17,0.74,1.85,6,,Catheter‐related infection,
7 Premature central venous catheter removal Show forest plot,1,88,"Risk Ratio (M‐H, Random, 95% CI)","0.82 [0.30, 2.24]",Vitamin K antagonist (VKA) versus no VKA,2,0.82,0.3,2.24,7,,Premature central venous catheter removal,
1 All‐cause mortality (up to 3 months) Show forest plot,3,561,"Risk Ratio (M‐H, Random, 95% CI)","0.94 [0.56, 1.59]",Low‐molecular‐weight heparin (LMWH) versus vitamin K antagonist (VKA),3,0.94,0.56,1.59,1,,All‐cause mortality (up to 3 months),
2 Symptomatic catheter‐related thrombosis (up to 3 months) Show forest plot,2,327,"Risk Ratio (M‐H, Random, 95% CI)","1.83 [0.44, 7.61]",Low‐molecular‐weight heparin (LMWH) versus vitamin K antagonist (VKA),3,1.83,0.44,7.61,2,,Symptomatic catheter‐related thrombosis (up to 3 months),
3 Asymptomatic catheter‐related thrombosis Show forest plot,2,317,"Risk Ratio (M‐H, Random, 95% CI)","1.61 [0.75, 3.46]",Low‐molecular‐weight heparin (LMWH) versus vitamin K antagonist (VKA),3,1.61,0.75,3.46,3,,Asymptomatic catheter‐related thrombosis,
4 Pulmonary embolism (up to 3 months) Show forest plot,2,327,"Risk Ratio (M‐H, Random, 95% CI)","1.70 [0.74, 3.92]",Low‐molecular‐weight heparin (LMWH) versus vitamin K antagonist (VKA),3,1.7,0.74,3.92,4,,Pulmonary embolism (up to 3 months),
5 Major bleeding (up to 3 months) Show forest plot,2,289,"Risk Ratio (M‐H, Random, 95% CI)","3.11 [0.13, 73.11]",Low‐molecular‐weight heparin (LMWH) versus vitamin K antagonist (VKA),3,3.11,0.13,73.11,5,,Major bleeding (up to 3 months),
6 Minor bleeding (up to 3 months) Show forest plot,1,234,"Risk Ratio (M‐H, Random, 95% CI)","0.95 [0.20, 4.61]",Low‐molecular‐weight heparin (LMWH) versus vitamin K antagonist (VKA),3,0.95,0.2,4.61,6,,Minor bleeding (up to 3 months),
7 Thrombocytopenia (up to 3 months) Show forest plot,2,327,"Risk Ratio (M‐H, Random, 95% CI)","1.69 [1.20, 2.39]",Low‐molecular‐weight heparin (LMWH) versus vitamin K antagonist (VKA),3,1.69,1.2,2.39,7,,Thrombocytopenia (up to 3 months),
