Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
3.1 Ultrasound vs landmark,1,40,"Std. Mean Difference (Random, 95% CI)","1.38 [0.69, 2.08]",Ultrasound versus no ultrasound,1,1.38,0.69,2.08,3,1,Block duration,Ultrasound vs landmark
3.2 Ultrasound vs nerve stimulator,3,138,"Std. Mean Difference (Random, 95% CI)","1.22 [0.85, 1.59]",Ultrasound versus no ultrasound,1,1.22,0.85,1.59,3,2,Block duration,Ultrasound vs nerve stimulator
3.3 Ultrasound vs infiltration,5,224,"Std. Mean Difference (Random, 95% CI)","1.42 [0.36, 2.48]",Ultrasound versus no ultrasound,1,1.42,0.36,2.48,3,3,Block duration,Ultrasound vs infiltration
3.4 Ultrasound vs surgeon administered,1,58,"Std. Mean Difference (Random, 95% CI)","0.45 [‐0.07, 0.97]",Ultrasound versus no ultrasound,1,0.45,-0.07,0.97,3,4,Block duration,Ultrasound vs surgeon administered
4 Time to perform the block Show forest plot,9,680,"Std. Mean Difference (Random, 95% CI)","‐0.46 [‐1.06, 0.13]",Ultrasound versus no ultrasound,1,-0.46,-1.06,0.13,4,,Time to perform the block,
4.1 In‐plane,4,220,"Std. Mean Difference (Random, 95% CI)","0.15 [‐0.76, 1.06]",Ultrasound versus no ultrasound,1,0.15,-0.76,1.06,4,1,Time to perform the block,In‐plane
4.2 Out‐of‐plane,3,338,"Std. Mean Difference (Random, 95% CI)","‐0.39 [‐0.96, 0.19]",Ultrasound versus no ultrasound,1,-0.39,-0.96,0.19,4,2,Time to perform the block,Out‐of‐plane
4.3 Pre‐scanning,2,122,"Std. Mean Difference (Random, 95% CI)","‐1.97 [‐2.41, ‐1.54]",Ultrasound versus no ultrasound,1,-1.97,-2.41,-1.54,4,3,Time to perform the block,Pre‐scanning
5 Number of needle passes Show forest plot,3,256,"Std. Mean Difference (Random, 95% CI)","‐0.63 [‐1.08, ‐0.18]",Ultrasound versus no ultrasound,1,-0.63,-1.08,-0.18,5,,Number of needle passes,
6 Minor complications: bloody puncture Show forest plot,13,896,"Risk Difference (M‐H, Random, 95% CI)","‐0.02 [‐0.05, 0.00]",Ultrasound versus no ultrasound,1,-0.02,-0.05,0.0,6,,Minor complications: bloody puncture,
6.1 Peripheral nerve bock,5,326,"Risk Difference (M‐H, Random, 95% CI)","‐0.01 [‐0.03, 0.02]",Ultrasound versus no ultrasound,1,-0.01,-0.03,0.02,6,1,Minor complications: bloody puncture,Peripheral nerve bock
6.2 Fascia block,5,232,"Risk Difference (M‐H, Random, 95% CI)","‐0.01 [‐0.04, 0.03]",Ultrasound versus no ultrasound,1,-0.01,-0.04,0.03,6,2,Minor complications: bloody puncture,Fascia block
6.3 Neuraxial block,3,338,"Risk Difference (M‐H, Random, 95% CI)","‐0.08 [‐0.15, ‐0.02]",Ultrasound versus no ultrasound,1,-0.08,-0.15,-0.02,6,3,Minor complications: bloody puncture,Neuraxial block
7 Minor complications: transient neurological injury Show forest plot,18,1230,"Risk Difference (M‐H, Random, 95% CI)","‐0.00 [‐0.01, 0.01]",Ultrasound versus no ultrasound,1,-0.0,-0.01,0.01,7,,Minor complications: transient neurological injury,
8 Minor complications: seizure from local anaesthetic toxicity Show forest plot,22,1576,"Risk Difference (M‐H, Random, 95% CI)","0.0 [‐0.01, 0.01]",Ultrasound versus no ultrasound,1,0.0,-0.01,0.01,8,,Minor complications: seizure from local anaesthetic toxicity,
9 Minor complications: block infection without neurological injury Show forest plot,18,1238,"Risk Difference (M‐H, Random, 95% CI)","0.0 [‐0.01, 0.01]",Ultrasound versus no ultrasound,1,0.0,-0.01,0.01,9,,Minor complications: block infection without neurological injury,
10 Major complications: cardiac arrest from local anaesthetic toxicity Show forest plot,22,1576,"Risk Difference (M‐H, Random, 95% CI)","0.0 [‐0.01, 0.01]",Ultrasound versus no ultrasound,1,0.0,-0.01,0.01,10,,Major complications: cardiac arrest from local anaesthetic toxicity,
11 Major complications: lasting neurological injury Show forest plot,19,1250,"Risk Difference (M‐H, Random, 95% CI)","0.0 [‐0.01, 0.01]",Ultrasound versus no ultrasound,1,0.0,-0.01,0.01,11,,Major complications: lasting neurological injury,
