Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
8 DBP Show forest plot,9,26335,"Mean Difference (IV, Fixed, 95% CI)","‐0.12 [‐0.36, 0.13]",RAS inhibitors vs thiazides,2,-0.12,-0.36,0.13,8,,DBP,
9 HR Show forest plot,2,84,"Mean Difference (IV, Fixed, 95% CI)","0.66 [‐2.87, 4.19]",RAS inhibitors vs thiazides,2,0.66,-2.87,4.19,9,,HR,
1 All‐cause death Show forest plot,1,9193,"Risk Ratio (M‐H, Fixed, 95% CI)","0.89 [0.78, 1.01]",RAS inhibitors vs beta‐blockers (β‐blockers),3,0.89,0.78,1.01,1,,All‐cause death,
2 Total CV events Show forest plot,2,9239,"Risk Ratio (M‐H, Fixed, 95% CI)","0.88 [0.80, 0.98]",RAS inhibitors vs beta‐blockers (β‐blockers),3,0.88,0.8,0.98,2,,Total CV events,
3 Total HF Show forest plot,1,9193,"Risk Ratio (M‐H, Fixed, 95% CI)","0.95 [0.76, 1.18]",RAS inhibitors vs beta‐blockers (β‐blockers),3,0.95,0.76,1.18,3,,Total HF,
4 Total MI Show forest plot,2,9239,"Risk Ratio (M‐H, Fixed, 95% CI)","1.05 [0.86, 1.27]",RAS inhibitors vs beta‐blockers (β‐blockers),3,1.05,0.86,1.27,4,,Total MI,
5 Total stroke Show forest plot,1,9193,"Risk Ratio (M‐H, Fixed, 95% CI)","0.75 [0.63, 0.88]",RAS inhibitors vs beta‐blockers (β‐blockers),3,0.75,0.63,0.88,5,,Total stroke,
6 ESRF Show forest plot,1,46,"Risk Ratio (M‐H, Fixed, 95% CI)","0.33 [0.01, 7.78]",RAS inhibitors vs beta‐blockers (β‐blockers),3,0.33,0.01,7.78,6,,ESRF,
7 SBP Show forest plot,16,10905,"Mean Difference (IV, Fixed, 95% CI)","‐0.55 [‐1.22, 0.11]",RAS inhibitors vs beta‐blockers (β‐blockers),3,-0.55,-1.22,0.11,7,,SBP,
8 DBP Show forest plot,16,10905,"Mean Difference (IV, Fixed, 95% CI)","0.48 [0.14, 0.83]",RAS inhibitors vs beta‐blockers (β‐blockers),3,0.48,0.14,0.83,8,,DBP,
9 HR Show forest plot,10,9979,"Mean Difference (IV, Fixed, 95% CI)","6.05 [5.59, 6.50]",RAS inhibitors vs beta‐blockers (β‐blockers),3,6.05,5.59,6.5,9,,HR,
1 SBP Show forest plot,3,380,"Mean Difference (IV, Fixed, 95% CI)","‐2.38 [‐3.98, ‐0.78]",RAS inhibitors vs alpha‐blockers (α‐blockers),4,-2.38,-3.98,-0.78,1,,SBP,
2 DBP Show forest plot,3,380,"Mean Difference (IV, Fixed, 95% CI)","‐0.12 [‐1.09, 0.85]",RAS inhibitors vs alpha‐blockers (α‐blockers),4,-0.12,-1.09,0.85,2,,DBP,
3 HR Show forest plot,1,44,"Mean Difference (IV, Fixed, 95% CI)","3.1 [‐2.41, 8.61]",RAS inhibitors vs alpha‐blockers (α‐blockers),4,3.1,-2.41,8.61,3,,HR,
1 SBP Show forest plot,1,56,"Mean Difference (IV, Fixed, 95% CI)","1.30 [‐6.01, 8.61]",RAS inhibitors vs CNS active drug,5,1.3,-6.01,8.61,1,,SBP,
2 DBP Show forest plot,1,56,"Mean Difference (IV, Fixed, 95% CI)","‐0.30 [‐1.85, 1.25]",RAS inhibitors vs CNS active drug,5,-0.3,-1.85,1.25,2,,DBP,
3 HR Show forest plot,1,56,"Mean Difference (IV, Fixed, 95% CI)","1.5 [‐4.13, 7.13]",RAS inhibitors vs CNS active drug,5,1.5,-4.13,7.13,3,,HR,
