Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name,effect_size,lower_ci,upper_ci
Germinario 2013,Serious adverse events,7/1098,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Germinario,,,,,,
Gerwe 2009,Serious adverse events,2/263,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Gerwe,,,,,,
Haertling 2015,Serious adverse events,3/239,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Haertling,,,,,,
Hammerness 2009,Participants affected or at risk,5/57,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Hammerness,,,,,,
Hammerness 2012,Serious adverse events,0/10,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Hammerness,,,,,,
Hulvershorn 2012,Serious adverse events,0/25,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Hulvershorn,,,,,,
Jafarinia 2012,Serious adverse events,0/20,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Jafarinia,,,,,,
Jensen 1999 (MTA),Serious adverse events,1/245,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Jensen,,,,,,
Kemner 2005 (FOCUS),Sudden death,0/850,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Kemner,,,,,,
Kim 2011,Serious adverse events,0/97,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Kim,,,,,,
Lakic 2012,Strong depressive symptoms,1/68,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Lakic,,,,,,
Lee 2014,Serious adverse events,542/4055,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Lee,,,,,,
Li 2011,Serious adverse events,0/36,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Li,,,,,,
Maayan 2009,Serious adverse events,0/8,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Maayan,,,,,,
McCarthy 2009,Sudden death,5/5351,,,Non‐comparative studies: proportion of participants with serious adverse events,5,McCarthy,,,,,,
McCracken 2016,Serious adverse events,0/61,,,Non‐comparative studies: proportion of participants with serious adverse events,5,McCracken,,,,,,
Mohammadi 2004,Serious adverse events,3/116,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Mohammadi,,,,,,
Pierce 2010,Serious adverse events,0/71,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Pierce,,,,,,
Remschmidt 2005,Serious adverse events,4/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Remschmidt,,,,,,
Schmidt 2002,Generalized tonic‐clonic seizure,1/124,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Schmidt,,,,,,
Schulz 2010,Serious adverse events,0/145,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Schulz,,,,,,
Shin 2016,Serious adverse events,"1224/123,636",,,Non‐comparative studies: proportion of participants with serious adverse events,5,Shin,,,,,,
Sobanski 2013,Serious adverse events,8/347,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Sobanski,,,,,,
Steele 2006,Serious adverse events,0/73,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Steele,,,,,,
Su 2015,Serious adverse events,0/239,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Su,,,,,,
Valdizán Usón 2013,Serious adverse events,0/689,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Valdizán,,,,,,
Warshaw 2010,Serious adverse events,0/260,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Warshaw,,,,,,
Weiss 2007,Serious adverse events,0/79,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Weiss,,,,,,
Wigal 2011,Serious adverse events,0/31,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Wigal,,,,,,
Wigal 2013,Serious adverse events,0/39,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Wigal,,,,,,
Wigal 2015,Serious adverse events,1/200,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Wigal,,,,,,
Wilens 2006,Serious adverse events,1/87,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Wilens,,,,,,
Wilens 2008,Serious adverse events,0/127,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Wilens,,,,,,
Winterstein 2009,Serious adverse events,"171/18,238",,,Non‐comparative studies: proportion of participants with serious adverse events,5,Winterstein,,,,,,
Zheng 2015,Serious adverse events,0/149,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Zheng,,,,,,
2 Central nervous system Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,,Central nervous system,,,,
Study,Symptom,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Study,,,,,,
Sudden death,Sudden death,Sudden death,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Sudden,,,,,,
Kemner 2005 (FOCUS),Sudden death,0/850,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Kemner,,,,,,
Lee 2014,Sudden death,7/100,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Lee,,,,,,
McCarthy 2009,Sudden death,1/5351,,,Non‐comparative studies: proportion of participants with serious adverse events,5,McCarthy,,,,,,
Suicide,Suicide,Suicide,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Suicide,,,,,,
Jensen 1999 (MTA),Suicide,1/245,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Jensen,,,,,,
McCarthy 2009,Suicide,4/5351,,,Non‐comparative studies: proportion of participants with serious adverse events,5,McCarthy,,,,,,
Suicide attempt,Suicide attempt,Suicide attempt,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Suicide,,,,,,
Arnold 2010,Acute depression and suicide attempt,1/150,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arnold,,,,,,
Lee 2014,Suicide attempt,6/100,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Lee,,,,,,
Remschmidt 2005,Suicide attempt,1/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Remschmidt,,,,,,
Suicide thoughts,Suicide thoughts,Suicide thoughts,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Suicide,,,,,,
Remschmidt 2005,"Depressive, suicidal thoughts",1/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Remschmidt,,,,,,
Wilens 2006,"Serious adverse events were reported in only 1 participant during the open‐label, dose‐titration phase of the study",1/87,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Wilens,,,,,,
Psychotic symptoms,Psychotic symptoms,Psychotic symptoms,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Psychotic,,,,,,
Cherland 1999,Psychotic symptoms,7/96,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cherland,,,,,,
Cortese 2015,Hallucinations,2/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Findling 2009,Paranoid behavior disorder,3/157,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Findling,,,,,,
Green 2011,Hallucinations,0/22,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Green,,,,,,
Mohammadi 2004,Hallucinations,0/11,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Mohammadi,,,,,,
Na 2013,Hallucinations,0/55,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Na,,,,,,
Remschmidt 2005,Delusions,1/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Remschmidt,,,,,,
Shyu 2015,Psychotic disorders,"856/52,646",,,Non‐comparative studies: proportion of participants with serious adverse events,5,Shyu,,,,,,
Su 2015,Hallucinations,1/239,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Su,,,,,,
Wilens 2005,Hallucinations,0/369,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Wilens,,,,,,
Seizure,Seizure,Seizure,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Seizure,,,,,,
Cortese 2015,Seizures,3/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Schmidt 2002,Generalized tonic‐clonic seizure,1/124,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Schmidt,,,,,,
Syncope,Syncope,Syncope,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Syncope,,,,,,
Findling 2009,Syncope,1/327,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Findling,,,,,,
Germinario 2013,Vasovagal syncope,1/1098,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Germinario,,,,,,
Tremor,Tremor,Tremor,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Tremor,,,,,,
Arnold 2004,Tremor,1/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arnold,,,,,,
Gerwe 2009,Tremor,1/306,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Gerwe,,,,,,
Psychiatric problems,Psychiatric problems,Psychiatric problems,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Psychiatric,,,,,,
Arnold 2004,Rambling speech,1/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arnold,,,,,,
Cortese 2015,Psychiatric disorder,5/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Germinario 2013,Psychiatric problems,5/1098,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Germinario,,,,,,
Severe depression,Severe depression,Severe depression,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Severe,,,,,,
Cherland 1999,Severe depression,1/98,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cherland,,,,,,
Lakic 2012,Strong depressive symptoms,1/68,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Lakic,,,,,,
Overdose,Overdose,Overdose,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Overdose,,,,,,
Lee 2014,Overdose,6/100,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Lee,,,,,,
Eating disorder,Eating disorder,Eating disorder,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Eating,,,,,,
Cortese 2015,Eating disorder,1/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Aphasia,Aphasia,Aphasia,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Aphasia,,,,,,
Cortese 2015,Aphasia,1/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Headache,Headache,Headache,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Headache,,,,,,
Cortese 2015,Headache,3/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Neurological disorder,Neurological disorder,Neurological disorder,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Neurological,,,,,,
Cortese 2015,Neurologicaol disorder,2/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Sleep disorder,Sleep disorder,Sleep disorder,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Sleep,,,,,,
Cortese 2015,Sleep disorder,1/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Mood disorder,Mood disorder,Mood disorder,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Mood,,,,,,
Cortese 2015,Mood disorder,1/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Loss of consciousness,Loss of consciousness,Loss of consciousness,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Loss,,,,,,
Gerwe 2009,Short loss of consciousness,1/306,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Gerwe,,,,,,
Family stress,Family stress,Family stress,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Family,,,,,,
Gerwe 2009,Family stress,1/306,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Gerwe,,,,,,
Impotence,Impotence,Impotence,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Impotence,,,,,,
Germinario 2013,Impotence,1/1098,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Germinario,,,,,,
Severe aggression,Severe aggression,Severe aggression,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Severe,,,,,,
Remschmidt 2005,Severe aggression,1/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Remschmidt,,,,,,
Severe anorexia,Severe anorexia,Severe anorexia,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Severe,,,,,,
Arabgol 2015,Severe anorexia,1/18,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arabgol,,,,,,
Amphetamine intoxication,Amphetamine intoxication,Amphetamine intoxication,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Amphetamine,,,,,,
Cherland 1999,Amphetamine intoxication,3/98,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cherland,,,,,,
2.1 Sudden death,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,1,,Sudden death,,,
2.2 Suicide,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,2,,Suicide,,,
2.3 Suicide attempt,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,3,,Suicide attempt,,,
2.4 Suicide thoughts,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,4,,Suicide thoughts,,,
2.5 Psychotic symptoms,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,5,,Psychotic symptoms,,,
2.6 Seizure,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,6,,Seizure,,,
2.7 Syncope,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,7,,Syncope,,,
2.8 Tremor,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,8,,Tremor,,,
2.9 Psychiatric problems,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,9,,Psychiatric problems,,,
2.10 Severe depression,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,10,,Severe depression,,,
2.11 Overdose,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,11,,Overdose,,,
2.12 Eating disorder,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,12,,Eating disorder,,,
2.13 Aphasia,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,13,,Aphasia,,,
2.14 Headache,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,14,,Headache,,,
2.15 Neurological disorder,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,15,,Neurological disorder,,,
2.16 Sleep disorder,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,16,,Sleep disorder,,,
2.17 Mood disorder,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,17,,Mood disorder,,,
2.18 Loss of consciousness,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,18,,Loss of consciousness,,,
2.19 Family stress,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,19,,Family stress,,,
2.20 Impotence,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,20,,Impotence,,,
2.21 Severe aggression,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,21,,Severe aggression,,,
2.22 Severe anorexia,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,22,,Severe anorexia,,,
