Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
5 Loss of fewer than 30 letters visual acuity at 1 year Show forest plot,4,2455,"Risk Ratio (M‐H, Random, 95% CI)","1.12 [1.06, 1.19]",Anti‐VEGF treatment versus control,1,1.12,1.06,1.19,5,,Loss of fewer than 30 letters visual acuity at 1 year,
5.1 Pegaptanib vs control,1,1186,"Risk Ratio (M‐H, Random, 95% CI)","1.15 [1.08, 1.23]",Anti‐VEGF treatment versus control,1,1.15,1.08,1.23,5,1,Loss of fewer than 30 letters visual acuity at 1 year,Pegaptanib vs control
5.2 Ranibizumab vs control,2,1138,"Risk Ratio (M‐H, Random, 95% CI)","1.15 [1.11, 1.20]",Anti‐VEGF treatment versus control,1,1.15,1.11,1.2,5,2,Loss of fewer than 30 letters visual acuity at 1 year,Ranibizumab vs control
5.3 Bevacizumab vs control,1,131,"Risk Ratio (M‐H, Random, 95% CI)","1.03 [0.97, 1.10]",Anti‐VEGF treatment versus control,1,1.03,0.97,1.1,5,3,Loss of fewer than 30 letters visual acuity at 1 year,Bevacizumab vs control
6 Loss of fewer than 30 letters visual acuity at 2 years Show forest plot,2,1138,"Risk Ratio (M‐H, Random, 95% CI)","1.22 [1.15, 1.29]",Anti‐VEGF treatment versus control,1,1.22,1.15,1.29,6,,Loss of fewer than 30 letters visual acuity at 2 years,
7 Visual acuity better than 20/200 at 1 year Show forest plot,4,2508,"Risk Ratio (M‐H, Random, 95% CI)","1.58 [1.34, 1.86]",Anti‐VEGF treatment versus control,1,1.58,1.34,1.86,7,,Visual acuity better than 20/200 at 1 year,
7.1 Pegaptanib vs control,1,1186,"Risk Ratio (M‐H, Random, 95% CI)","1.33 [1.15, 1.52]",Anti‐VEGF treatment versus control,1,1.33,1.15,1.52,7,1,Visual acuity better than 20/200 at 1 year,Pegaptanib vs control
7.2 Ranibizumab vs control,3,1322,"Risk Ratio (M‐H, Random, 95% CI)","1.69 [1.41, 2.03]",Anti‐VEGF treatment versus control,1,1.69,1.41,2.03,7,2,Visual acuity better than 20/200 at 1 year,Ranibizumab vs control
8 Visual acuity better than 20/200 at 2 years Show forest plot,3,1322,"Risk Ratio (M‐H, Random, 95% CI)","1.73 [1.52, 1.98]",Anti‐VEGF treatment versus control,1,1.73,1.52,1.98,8,,Visual acuity better than 20/200 at 2 years,
9 Maintenance of visual acuity at 1 year Show forest plot,3,1636,"Risk Ratio (M‐H, Random, 95% CI)","1.98 [1.31, 3.00]",Anti‐VEGF treatment versus control,1,1.98,1.31,3.0,9,,Maintenance of visual acuity at 1 year,
9.1 Pegaptanib vs control,1,1186,"Risk Ratio (M‐H, Random, 95% CI)","1.49 [1.19, 1.88]",Anti‐VEGF treatment versus control,1,1.49,1.19,1.88,9,1,Maintenance of visual acuity at 1 year,Pegaptanib vs control
9.2 Ranibizumab vs control,1,422,"Risk Ratio (M‐H, Random, 95% CI)","2.53 [1.95, 3.27]",Anti‐VEGF treatment versus control,1,2.53,1.95,3.27,9,2,Maintenance of visual acuity at 1 year,Ranibizumab vs control
9.3 Bevacizumab vs control,1,28,"Risk Ratio (M‐H, Random, 95% CI)","2.2 [1.03, 4.68]",Anti‐VEGF treatment versus control,1,2.2,1.03,4.68,9,3,Maintenance of visual acuity at 1 year,Bevacizumab vs control
10 Maintenance of visual acuity at 2 years Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Anti‐VEGF treatment versus control,1,,,,10,,Maintenance of visual acuity at 2 years,
11 Mean change in visual acuity at 1 year (number of letters) Show forest plot,4,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Anti‐VEGF treatment versus control,1,,,,11,,Mean change in visual acuity at 1 year (number of letters),
11.1 Pegaptanib vs control,1,1186,"Mean Difference (IV, Random, 95% CI)","6.72 [4.43, 9.01]",Anti‐VEGF treatment versus control,1,6.72,4.43,9.01,11,1,Mean change in visual acuity at 1 year (number of letters),Pegaptanib vs control
11.2 Ranibizumab vs control,3,1322,"Mean Difference (IV, Random, 95% CI)","17.80 [15.95, 19.65]",Anti‐VEGF treatment versus control,1,17.8,15.95,19.65,11,2,Mean change in visual acuity at 1 year (number of letters),Ranibizumab vs control
12 Mean change in visual acuity at 2 years (number of letters) Show forest plot,3,1322,"Mean Difference (IV, Random, 95% CI)","20.11 [18.08, 22.15]",Anti‐VEGF treatment versus control,1,20.11,18.08,22.15,12,,Mean change in visual acuity at 2 years (number of letters),
13 Reduction in size of CNV at 1 year (mean number of disc areas) Show forest plot,1,,"Mean Difference (Random, 95% CI)",Totals not selected,Anti‐VEGF treatment versus control,1,,,,13,,Reduction in size of CNV at 1 year (mean number of disc areas),
14 Reduction in size of lesion at 1 year (mean number of disc areas) Show forest plot,1,,"Mean Difference (Random, 95% CI)",Totals not selected,Anti‐VEGF treatment versus control,1,,,,14,,Reduction in size of lesion at 1 year (mean number of disc areas),
15 Reduction in size of lesion at 1 year (mean number of disc areas) Show forest plot,2,606,"Mean Difference (IV, Random, 95% CI)","2.34 [1.88, 2.81]",Anti‐VEGF treatment versus control,1,2.34,1.88,2.81,15,,Reduction in size of lesion at 1 year (mean number of disc areas),
16 Reduction in size of lesion at 2 years (mean number of disc areas) Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Totals not selected,Anti‐VEGF treatment versus control,1,,,,16,,Reduction in size of lesion at 2 years (mean number of disc areas),
17 Mean change in quality of life scores at 1 year Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Anti‐VEGF treatment versus control,1,,,,17,,Mean change in quality of life scores at 1 year,
17.1 Overall vision‐related quality of life,2,1134,"Mean Difference (IV, Random, 95% CI)","6.69 [3.38, 9.99]",Anti‐VEGF treatment versus control,1,6.69,3.38,9.99,17,1,Mean change in quality of life scores at 1 year,Overall vision‐related quality of life
17.2 Near vision activities,2,1134,"Mean Difference (IV, Random, 95% CI)","8.45 [0.28, 16.62]",Anti‐VEGF treatment versus control,1,8.45,0.28,16.62,17,2,Mean change in quality of life scores at 1 year,Near vision activities
17.3 Distance vision activities,2,1134,"Mean Difference (IV, Random, 95% CI)","9.65 [3.20, 16.09]",Anti‐VEGF treatment versus control,1,9.65,3.2,16.09,17,3,Mean change in quality of life scores at 1 year,Distance vision activities
17.4 Dependency,2,1134,"Mean Difference (IV, Random, 95% CI)","9.82 [6.86, 12.77]",Anti‐VEGF treatment versus control,1,9.82,6.86,12.77,17,4,Mean change in quality of life scores at 1 year,Dependency
17.5 Driving ability,2,1080,"Mean Difference (IV, Random, 95% CI)","9.85 [6.34, 13.36]",Anti‐VEGF treatment versus control,1,9.85,6.34,13.36,17,5,Mean change in quality of life scores at 1 year,Driving ability
17.6 General health,2,1134,"Mean Difference (IV, Random, 95% CI)","3.18 [0.54, 5.82]",Anti‐VEGF treatment versus control,1,3.18,0.54,5.82,17,6,Mean change in quality of life scores at 1 year,General health
17.7 Role difficulties,2,1134,"Mean Difference (IV, Random, 95% CI)","6.99 [0.76, 13.23]",Anti‐VEGF treatment versus control,1,6.99,0.76,13.23,17,7,Mean change in quality of life scores at 1 year,Role difficulties
17.8 Mental health,2,1134,"Mean Difference (IV, Random, 95% CI)","8.42 [5.75, 11.10]",Anti‐VEGF treatment versus control,1,8.42,5.75,11.1,17,8,Mean change in quality of life scores at 1 year,Mental health
17.9 General vision,2,1134,"Mean Difference (IV, Random, 95% CI)","8.20 [5.90, 10.50]",Anti‐VEGF treatment versus control,1,8.2,5.9,10.5,17,9,Mean change in quality of life scores at 1 year,General vision
17.10 Social functioning,2,1134,"Mean Difference (IV, Random, 95% CI)","8.03 [5.36, 10.69]",Anti‐VEGF treatment versus control,1,8.03,5.36,10.69,17,10,Mean change in quality of life scores at 1 year,Social functioning
17.11 Color vision,2,1127,"Mean Difference (IV, Random, 95% CI)","2.51 [‐0.02, 5.05]",Anti‐VEGF treatment versus control,1,2.51,-0.02,5.05,17,11,Mean change in quality of life scores at 1 year,Color vision
17.12 Peripheral vision,2,1133,"Mean Difference (IV, Random, 95% CI)","5.20 [0.37, 10.03]",Anti‐VEGF treatment versus control,1,5.2,0.37,10.03,17,12,Mean change in quality of life scores at 1 year,Peripheral vision
17.13 Ocular pain,2,1134,"Mean Difference (IV, Random, 95% CI)","‐1.78 [‐3.67, 0.11]",Anti‐VEGF treatment versus control,1,-1.78,-3.67,0.11,17,13,Mean change in quality of life scores at 1 year,Ocular pain
18 Mean change in quality of life scores at 2 years Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Anti‐VEGF treatment versus control,1,,,,18,,Mean change in quality of life scores at 2 years,
18.1 Overall vision‐related quality of life,2,1134,"Mean Difference (IV, Random, 95% CI)","8.63 [3.31, 13.95]",Anti‐VEGF treatment versus control,1,8.63,3.31,13.95,18,1,Mean change in quality of life scores at 2 years,Overall vision‐related quality of life
18.2 Near vision activities,2,1134,"Mean Difference (IV, Random, 95% CI)","11.52 [3.49, 19.55]",Anti‐VEGF treatment versus control,1,11.52,3.49,19.55,18,2,Mean change in quality of life scores at 2 years,Near vision activities
18.3 Distance vision activities,2,1134,"Mean Difference (IV, Random, 95% CI)","10.86 [3.82, 17.90]",Anti‐VEGF treatment versus control,1,10.86,3.82,17.9,18,3,Mean change in quality of life scores at 2 years,Distance vision activities
18.4 Dependency,2,1134,"Mean Difference (IV, Random, 95% CI)","11.06 [3.29, 18.83]",Anti‐VEGF treatment versus control,1,11.06,3.29,18.83,18,4,Mean change in quality of life scores at 2 years,Dependency
18.5 Driving ability,2,1080,"Mean Difference (IV, Random, 95% CI)","13.53 [9.51, 17.55]",Anti‐VEGF treatment versus control,1,13.53,9.51,17.55,18,5,Mean change in quality of life scores at 2 years,Driving ability
18.6 General health,2,1134,"Mean Difference (IV, Random, 95% CI)","2.58 [‐0.18, 5.35]",Anti‐VEGF treatment versus control,1,2.58,-0.18,5.35,18,6,Mean change in quality of life scores at 2 years,General health
18.7 Role difficulties,2,1134,"Mean Difference (IV, Random, 95% CI)","9.44 [1.34, 17.54]",Anti‐VEGF treatment versus control,1,9.44,1.34,17.54,18,7,Mean change in quality of life scores at 2 years,Role difficulties
18.8 Mental health,2,1134,"Mean Difference (IV, Random, 95% CI)","10.07 [3.98, 16.17]",Anti‐VEGF treatment versus control,1,10.07,3.98,16.17,18,8,Mean change in quality of life scores at 2 years,Mental health
18.9 General vision,2,1134,"Mean Difference (IV, Random, 95% CI)","9.61 [5.49, 13.72]",Anti‐VEGF treatment versus control,1,9.61,5.49,13.72,18,9,Mean change in quality of life scores at 2 years,General vision
18.10 Social functioning,2,1134,"Mean Difference (IV, Random, 95% CI)","8.12 [1.77, 14.47]",Anti‐VEGF treatment versus control,1,8.12,1.77,14.47,18,10,Mean change in quality of life scores at 2 years,Social functioning
18.11 Color vision,2,1127,"Mean Difference (IV, Random, 95% CI)","5.70 [2.89, 8.51]",Anti‐VEGF treatment versus control,1,5.7,2.89,8.51,18,11,Mean change in quality of life scores at 2 years,Color vision
18.12 Peripheral vision,2,1133,"Mean Difference (IV, Random, 95% CI)","6.79 [1.48, 12.09]",Anti‐VEGF treatment versus control,1,6.79,1.48,12.09,18,12,Mean change in quality of life scores at 2 years,Peripheral vision
18.13 Ocular pain,2,1134,"Mean Difference (IV, Random, 95% CI)","‐1.10 [‐3.13, 0.92]",Anti‐VEGF treatment versus control,1,-1.1,-3.13,0.92,18,13,Mean change in quality of life scores at 2 years,Ocular pain
1 Gain of 15 or more letters visual acuity at 1 year Show forest plot,8,3144,"Risk Ratio (M‐H, Random, 95% CI)","0.95 [0.81, 1.12]",Bevacizumab versus ranibizumab,2,0.95,0.81,1.12,1,,Gain of 15 or more letters visual acuity at 1 year,
2 Gain of 15 or more letters visual acuity at 2 years Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Bevacizumab versus ranibizumab,2,,,,2,,Gain of 15 or more letters visual acuity at 2 years,
2.1 Participants in groups as randomized at baseline,2,1547,"Risk Ratio (M‐H, Random, 95% CI)","0.84 [0.64, 1.11]",Bevacizumab versus ranibizumab,2,0.84,0.64,1.11,2,1,Gain of 15 or more letters visual acuity at 2 years,Participants in groups as randomized at baseline
2.2 Participants remaining in same groups after re‐randomization,2,1295,"Risk Ratio (M‐H, Random, 95% CI)","0.84 [0.64, 1.11]",Bevacizumab versus ranibizumab,2,0.84,0.64,1.11,2,2,Gain of 15 or more letters visual acuity at 2 years,Participants remaining in same groups after re‐randomization
3 Loss of fewer than 15 letters visual acuity at 1 year Show forest plot,8,3144,"Risk Ratio (M‐H, Random, 95% CI)","1.00 [0.98, 1.02]",Bevacizumab versus ranibizumab,2,1.0,0.98,1.02,3,,Loss of fewer than 15 letters visual acuity at 1 year,
4 Loss of fewer than 15 letters visual acuity at 2 years Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Bevacizumab versus ranibizumab,2,,,,4,,Loss of fewer than 15 letters visual acuity at 2 years,
4.1 Participants in groups as randomized at baseline,2,1547,"Risk Ratio (M‐H, Random, 95% CI)","0.97 [0.94, 1.00]",Bevacizumab versus ranibizumab,2,0.97,0.94,1.0,4,1,Loss of fewer than 15 letters visual acuity at 2 years,Participants in groups as randomized at baseline
4.2 Participants remaining in same groups after re‐randomization,2,1295,"Risk Ratio (M‐H, Random, 95% CI)","0.98 [0.94, 1.01]",Bevacizumab versus ranibizumab,2,0.98,0.94,1.01,4,2,Loss of fewer than 15 letters visual acuity at 2 years,Participants remaining in same groups after re‐randomization
5 Visual acuity better than 20/200 at 1 year Show forest plot,4,2026,"Risk Ratio (M‐H, Random, 95% CI)","0.98 [0.96, 1.01]",Bevacizumab versus ranibizumab,2,0.98,0.96,1.01,5,,Visual acuity better than 20/200 at 1 year,
6 Visual acuity better than 20/200 at 2 years Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Bevacizumab versus ranibizumab,2,,,,6,,Visual acuity better than 20/200 at 2 years,
6.1 Participants in groups as randomized at baseline,2,1547,"Risk Ratio (M‐H, Random, 95% CI)","1.00 [0.95, 1.06]",Bevacizumab versus ranibizumab,2,1.0,0.95,1.06,6,1,Visual acuity better than 20/200 at 2 years,Participants in groups as randomized at baseline
6.2 Participants remaining in same groups after re‐randomization,2,1295,"Risk Ratio (M‐H, Random, 95% CI)","1.01 [0.95, 1.06]",Bevacizumab versus ranibizumab,2,1.01,0.95,1.06,6,2,Visual acuity better than 20/200 at 2 years,Participants remaining in same groups after re‐randomization
7 Mean change in visual acuity at 1 year (number of letters) Show forest plot,9,3190,"Mean Difference (IV, Random, 95% CI)","‐0.52 [‐1.49, 0.45]",Bevacizumab versus ranibizumab,2,-0.52,-1.49,0.45,7,,Mean change in visual acuity at 1 year (number of letters),
8 Mean change in visual acuity at 2 years (number of letters) Show forest plot,2,1295,"Mean Difference (IV, Random, 95% CI)","‐1.15 [‐2.82, 0.51]",Bevacizumab versus ranibizumab,2,-1.15,-2.82,0.51,8,,Mean change in visual acuity at 2 years (number of letters),
9 Reduction in central retinal thickness at 1 year Show forest plot,6,2693,"Mean Difference (IV, Random, 95% CI)","‐11.61 [‐21.55, ‐1.66]",Bevacizumab versus ranibizumab,2,-11.61,-21.55,-1.66,9,,Reduction in central retinal thickness at 1 year,
10 Reduction in central retinal thickness at 2 years Show forest plot,2,1199,"Mean Difference (IV, Random, 95% CI)","‐12.40 [‐33.83, 9.04]",Bevacizumab versus ranibizumab,2,-12.4,-33.83,9.04,10,,Reduction in central retinal thickness at 2 years,
11 No problems in quality of life domain at 1 year Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Bevacizumab versus ranibizumab,2,,,,11,,No problems in quality of life domain at 1 year,
11.1 Mobility,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,11,1,No problems in quality of life domain at 1 year,Mobility
11.2 Self‐care,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,11,2,No problems in quality of life domain at 1 year,Self‐care
11.3 Usual activities,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,11,3,No problems in quality of life domain at 1 year,Usual activities
11.4 Pain/discomfort,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,11,4,No problems in quality of life domain at 1 year,Pain/discomfort
11.5 Anxiety/depression,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,11,5,No problems in quality of life domain at 1 year,Anxiety/depression
12 No problems in quality of life domain at 2 years Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Bevacizumab versus ranibizumab,2,,,,12,,No problems in quality of life domain at 2 years,
12.1 Mobility,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,12,1,No problems in quality of life domain at 2 years,Mobility
12.2 Self‐care,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,12,2,No problems in quality of life domain at 2 years,Self‐care
12.3 Usual activities,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,12,3,No problems in quality of life domain at 2 years,Usual activities
12.4 Pain/discomfort,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,12,4,No problems in quality of life domain at 2 years,Pain/discomfort
12.5 Anxiety/depression,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Bevacizumab versus ranibizumab,2,0.0,0.0,0.0,12,5,No problems in quality of life domain at 2 years,Anxiety/depression
13 Loss of fewer than 30 letters visual acuity at 1 year Show forest plot,1,,"Risk Ratio (M‐H, Fixed, 95% CI)",Subtotals only,Bevacizumab versus ranibizumab,2,,,,13,,Loss of fewer than 30 letters visual acuity at 1 year,
